date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-17,10.14,9.74,10.26,9.72,6822500,68139780.0,5.35,-3.47,-0.35,0.76
2025-10-20,9.91,10.0,10.16,9.78,3854500,38521150.0,3.9,2.67,0.26,0.43
2025-10-21,9.94,9.84,10.2,9.83,3239500,32269408.0,3.7,-1.6,-0.16,0.36
2025-10-22,9.98,9.48,9.98,9.38,4924000,47050005.0,6.1,-3.66,-0.36,0.55
2025-10-23,9.48,9.54,9.64,9.2,6805500,64347500.0,4.64,0.63,0.06,0.76
2025-10-24,9.7,9.4,9.7,9.32,3497500,33063363.0,3.98,-1.47,-0.14,0.39
2025-10-27,9.41,9.38,9.54,9.35,3213000,30305925.0,2.02,-0.21,-0.02,0.36
2025-10-28,9.51,9.15,9.51,9.14,3687000,34063190.0,3.94,-2.45,-0.23,0.41
2025-10-30,9.15,8.88,9.28,8.82,5395500,48337239.0,5.03,-2.95,-0.27,0.6
2025-10-31,8.86,8.74,8.92,8.7,4189048,36729181.0,2.48,-1.58,-0.14,0.47
2025-11-03,9.44,9.54,9.99,9.15,33576800,324342624.0,9.61,9.15,0.8,3.74
2025-11-04,10.02,9.13,10.37,9.11,27238500,270113792.0,13.21,-4.3,-0.41,3.04
2025-11-05,9.46,9.22,9.86,9.13,18681100,176087196.0,8.0,0.99,0.09,2.08
2025-11-06,9.15,8.9,9.29,8.9,8118100,73075343.0,4.23,-3.47,-0.32,0.9
2025-11-07,8.9,8.68,9.28,8.63,22364000,200877850.0,7.3,-2.47,-0.22,2.49
2025-11-10,8.76,8.41,8.76,8.35,16802600,142186700.0,4.72,-3.11,-0.27,1.87
2025-11-11,8.48,8.34,8.53,8.1,18476000,151996625.0,5.11,-0.83,-0.07,2.06
2025-11-12,8.34,8.99,10.01,8.21,75788248,711211280.0,21.58,7.79,0.65,8.45
2025-11-13,7.8,7.2,7.8,7.18,165553600,1209874816.0,6.9,-19.91,-1.79,18.45
2025-11-14,7.11,6.96,7.13,6.75,34918100,241795100.0,5.28,-3.33,-0.24,3.89
2025-11-17,6.95,7.02,7.13,6.94,12653000,88762885.0,2.73,0.86,0.06,1.41
2025-11-18,6.99,6.72,6.99,6.71,12787500,86916537.0,3.99,-4.27,-0.3,1.43
2025-11-19,6.77,6.73,7.09,6.61,18720000,127842865.0,7.14,0.15,0.01,2.09
2025-11-20,6.79,6.74,6.84,6.73,7732500,52401730.0,1.63,0.15,0.01,0.86
2025-11-21,6.76,6.68,6.76,6.44,11330120,74278297.0,4.75,-0.89,-0.06,1.26
2025-11-24,6.7,6.62,6.71,6.54,7434256,49195387.0,2.54,-0.9,-0.06,0.83
2025-11-25,6.67,6.67,6.77,6.61,11079500,74092030.0,2.42,0.76,0.05,1.23
2025-11-26,6.67,6.74,6.94,6.65,8138500,55209380.0,4.35,1.05,0.07,0.91
2025-11-27,6.74,6.78,6.82,6.73,5045500,34264115.0,1.34,0.59,0.04,0.53
2025-11-28,6.85,6.88,6.99,6.8,7277500,50187825.0,2.8,1.47,0.1,0.76
2025-12-01,6.89,6.76,6.93,6.76,6178500,42200825.0,2.47,-1.74,-0.12,0.65
2025-12-02,6.76,6.48,6.77,6.48,7583548,49962424.0,4.29,-4.14,-0.28,0.8
2025-12-03,6.4,6.21,6.5,6.21,6477500,40772466.0,4.48,-4.17,-0.27,0.68
2025-12-04,6.21,6.3,6.58,6.13,12591080,79911393.0,7.25,1.45,0.09,1.32
2025-12-05,6.3,6.3,6.37,6.18,6086500,38159875.0,3.02,0.0,0.0,0.64
2025-12-08,6.33,6.33,6.6,6.26,6631596,42676768.0,5.4,0.48,0.03,0.7
2025-12-09,6.39,6.15,6.41,6.15,5165548,32144881.0,4.11,-2.84,-0.18,0.54
2025-12-10,6.09,6.03,6.22,6.01,5910500,35801770.0,3.41,-1.95,-0.12,0.62
2025-12-11,6.06,6.03,6.11,6.0,3612000,21830260.0,1.82,0.0,0.0,0.38
2025-12-12,6.04,6.06,6.2,6.04,4081500,24987099.0,2.65,0.5,0.03,0.43
2025-12-15,6.02,5.96,6.13,5.95,4250000,25561471.0,2.97,-1.65,-0.1,0.45
2025-12-16,5.97,5.78,5.97,5.75,5902500,34346715.0,3.69,-3.02,-0.18,0.62
2025-12-17,5.78,5.71,5.87,5.63,6983500,39992000.0,4.15,-1.21,-0.07,0.73
2025-12-18,5.7,5.67,5.82,5.62,5038500,28768705.0,3.5,-0.7,-0.04,0.53
2025-12-19,5.77,5.9,6.02,5.67,11966090,70117308.0,6.17,4.06,0.23,1.26
2025-12-22,6.11,6.1,6.42,6.06,22338000,138800675.0,6.1,3.39,0.2,2.35
2025-12-23,6.03,6.08,6.41,6.03,12069500,75161415.0,6.23,-0.33,-0.02,1.27
2025-12-24,6.05,6.0,6.17,6.0,3515500,21335425.0,2.8,-1.32,-0.08,0.37
2025-12-29,6.1,6.04,6.3,6.02,7759000,47842790.0,4.67,0.67,0.04,0.82
2025-12-30,6.08,5.98,6.11,5.84,9034500,53959340.0,4.47,-0.99,-0.06,0.95
2025-12-31,6.02,5.98,6.1,5.93,3188000,19114805.0,2.84,0.0,0.0,0.33
2026-01-02,5.99,5.98,6.09,5.97,1518400,9146168.0,2.01,0.0,0.0,0.16
2026-01-05,6.05,6.12,6.26,5.92,10262200,62795783.0,5.69,2.34,0.14,1.08
2026-01-06,6.1,6.13,6.22,6.06,6623500,40594040.0,2.61,0.16,0.01,0.7
2026-01-07,6.14,6.07,6.19,6.02,4036500,24574705.0,2.77,-0.98,-0.06,0.42
2026-01-08,6.12,5.99,6.12,5.95,4011000,24067575.0,2.8,-1.32,-0.08,0.42
2026-01-09,6.07,6.06,6.15,5.94,6285900,37856546.0,3.51,1.17,0.07,0.66
2026-01-12,6.1,6.39,6.43,6.08,12460500,78428040.0,5.78,5.45,0.33,1.31
2026-01-13,6.48,6.34,6.51,6.28,7233500,46284570.0,3.6,-0.78,-0.05,0.76
2026-01-14,6.44,6.53,6.65,6.4,13479500,88006105.0,3.94,3.0,0.19,1.42
2026-01-15,6.98,6.65,7.5,6.6,46259500,324537280.0,13.78,1.84,0.12,4.86
