date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-08,26.82,26.92,27.28,26.1,13176215,354293232.0,4.45,1.51,0.4,0.14
2025-10-09,27.3,27.76,28.02,26.8,36216413,997164336.0,4.53,3.12,0.84,0.38
2025-10-10,27.52,26.1,27.58,25.94,37877947,1008155648.0,5.91,-5.98,-1.66,0.4
2025-10-13,25.06,26.36,26.44,25.06,33062908,856101600.0,5.29,1.0,0.26,0.35
2025-10-14,26.58,25.28,27.6,25.06,53987476,1404848896.0,9.64,-4.1,-1.08,0.57
2025-10-15,25.6,25.9,26.0,24.88,37561302,957340560.0,4.43,2.45,0.62,0.39
2025-10-16,26.2,26.04,26.98,25.76,31010486,817193952.0,4.71,0.54,0.14,0.33
2025-10-17,26.42,25.26,26.62,25.04,30944896,790921536.0,6.07,-3.0,-0.78,0.32
2025-10-20,25.94,25.34,26.08,25.02,29494840,746934304.0,4.2,0.32,0.08,0.31
2025-10-21,25.8,25.34,26.22,25.22,33570172,860091392.0,3.95,0.0,0.0,0.35
2025-10-22,24.9,25.44,25.52,24.16,31231731,779175808.0,5.37,0.39,0.1,0.33
2025-10-23,25.5,26.58,26.94,25.44,43250665,1135484032.0,5.9,4.48,1.14,0.45
2025-10-24,27.1,27.72,27.76,26.84,32248771,883081648.0,3.46,4.29,1.14,0.34
2025-10-27,27.88,28.62,28.96,27.36,26364414,743846992.0,5.77,3.25,0.9,0.28
2025-10-28,28.58,27.66,28.96,27.42,26761866,750725856.0,5.38,-3.35,-0.96,0.28
2025-10-30,28.66,29.92,30.04,28.6,51779769,1530024704.0,5.21,8.17,2.26,0.54
2025-10-31,29.78,29.52,30.36,29.3,30578726,909827120.0,3.54,-1.34,-0.4,0.32
2025-11-03,29.66,30.42,30.8,28.82,39182712,1172017536.0,6.71,3.05,0.9,0.41
2025-11-04,30.42,29.68,30.74,29.24,35882553,1068888624.0,4.93,-2.43,-0.74,0.38
2025-11-05,28.68,29.5,29.76,28.3,26340983,768373152.0,4.92,-0.61,-0.18,0.28
2025-11-06,29.78,32.42,32.64,29.52,47388948,1508630816.0,10.58,9.9,2.92,0.5
2025-11-07,31.88,32.32,32.88,31.8,32093760,1030889440.0,3.33,-0.31,-0.1,0.34
2025-11-10,32.4,31.92,32.72,31.32,38238539,1217056224.0,4.33,-1.24,-0.4,0.4
2025-11-11,32.5,32.4,33.16,31.8,28680726,925758368.0,4.26,1.5,0.48,0.3
2025-11-12,32.8,34.04,34.26,32.22,41424585,1389838288.0,6.3,5.06,1.64,0.43
2025-11-13,34.04,34.9,35.1,33.88,36781923,1275308256.0,3.58,2.53,0.86,0.39
2025-11-14,34.1,33.52,34.8,33.48,36041696,1223171536.0,3.78,-3.95,-1.38,0.38
2025-11-17,33.2,32.3,33.52,32.0,58633524,1909809120.0,4.53,-3.64,-1.22,0.62
2025-11-18,29.8,30.4,30.82,29.66,577405408,17049451264.0,3.59,-5.88,-1.9,6.06
2025-11-19,30.58,30.62,30.84,30.1,44121703,1346834432.0,2.43,0.72,0.22,0.46
2025-11-20,30.72,30.68,31.68,30.16,67034930,2062846976.0,4.96,0.2,0.06,0.7
2025-11-21,30.0,29.52,30.22,29.22,45891133,1359990928.0,3.26,-3.78,-1.16,0.48
2025-11-24,29.82,29.66,30.1,29.04,43896362,1295469536.0,3.59,0.47,0.14,0.46
2025-11-25,30.6,30.52,31.34,30.24,53658953,1646191168.0,3.71,2.9,0.86,0.54
2025-11-26,30.6,29.92,30.8,29.82,35508977,1071556016.0,3.21,-1.97,-0.6,0.36
2025-11-27,30.94,30.66,31.12,30.3,30890350,948665008.0,2.74,2.47,0.74,0.31
2025-11-28,30.72,30.86,31.04,30.22,23544838,725498384.0,2.67,0.65,0.2,0.24
2025-12-01,31.5,31.78,32.14,31.06,40633060,1283538240.0,3.5,2.98,0.92,0.41
