date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-14,44.02,39.2,46.46,39.0,98113137,4109630704.0,17.23,-9.47,-4.1,12.99
2025-10-15,39.88,40.64,40.94,38.54,42168564,1679768464.0,6.12,3.67,1.44,5.58
2025-10-16,40.96,43.02,44.8,40.68,64743367,2795239344.0,10.14,5.86,2.38,8.57
2025-10-17,42.86,37.5,43.0,36.96,92858278,3596274640.0,14.04,-12.83,-5.52,12.29
2025-10-20,38.5,39.16,39.94,38.06,47315223,1843462720.0,5.01,4.43,1.66,6.26
2025-10-21,39.48,40.62,42.1,39.24,46285568,1894862096.0,7.3,3.73,1.46,6.13
2025-10-22,40.26,39.28,40.26,38.32,28762715,1125961152.0,4.78,-3.3,-1.34,3.81
2025-10-23,39.18,38.34,39.18,37.26,23071978,874666448.0,4.89,-2.39,-0.94,3.05
2025-10-24,38.74,40.38,40.52,38.54,35618007,1418856992.0,5.16,5.32,2.04,4.71
2025-10-27,40.9,41.58,42.44,40.56,42630877,1768557584.0,4.66,2.97,1.2,5.64
2025-10-28,41.52,39.56,41.52,39.14,49511377,1977591280.0,5.72,-4.86,-2.02,6.55
2025-10-30,37.04,35.06,37.3,34.4,99823226,3538968480.0,7.33,-11.38,-4.5,13.21
2025-10-31,35.0,32.9,35.0,32.7,50136339,1678708880.0,6.56,-6.16,-2.16,6.64
2025-11-03,32.9,32.7,33.0,31.82,21547430,697555248.0,3.59,-0.61,-0.2,2.85
2025-11-04,32.94,32.3,33.34,32.1,14522300,476044992.0,3.79,-1.22,-0.4,1.92
2025-11-05,31.62,31.4,31.96,31.12,23196289,730587376.0,2.6,-2.79,-0.9,3.07
2025-11-06,31.6,32.42,32.6,31.02,28318474,904816496.0,5.03,3.25,1.02,3.75
2025-11-07,31.82,31.5,31.94,31.22,18331336,577021856.0,2.22,-2.84,-0.92,2.43
2025-11-10,31.6,31.8,31.96,31.2,12014991,380002144.0,2.41,0.95,0.3,1.59
2025-11-11,32.0,31.1,32.1,30.78,16805935,525514064.0,4.15,-2.2,-0.7,2.22
2025-11-12,31.0,30.4,31.04,30.0,25435858,771498576.0,3.34,-2.25,-0.7,3.37
2025-11-13,30.5,30.98,31.22,30.3,15899720,490135744.0,3.03,1.91,0.58,2.1
2025-11-14,30.52,30.56,31.22,30.4,14253800,439349584.0,2.65,-1.36,-0.42,1.89
2025-11-17,30.6,29.98,30.8,29.6,16263970,487340400.0,3.93,-1.9,-0.58,2.15
2025-11-18,29.68,29.8,30.42,29.54,11588223,346917488.0,2.94,-0.6,-0.18,1.53
2025-11-19,29.9,29.58,30.24,29.5,8385139,249478824.0,2.48,-0.74,-0.22,1.11
2025-11-20,30.12,29.62,30.42,29.18,12035302,357195936.0,4.19,0.14,0.04,1.59
2025-11-21,29.0,28.38,29.2,28.2,16357394,466301440.0,3.38,-4.19,-1.24,2.17
2025-11-24,28.64,28.9,29.06,28.0,14328746,409180416.0,3.74,1.83,0.52,1.9
2025-11-25,29.28,29.96,30.4,29.06,21696307,650513856.0,4.64,3.67,1.06,2.87
2025-11-26,30.16,30.94,31.4,29.84,27294143,845153008.0,5.21,3.27,0.98,3.61
2025-11-27,31.1,31.56,32.42,31.1,29705200,947968416.0,4.27,2.0,0.62,3.93
2025-11-28,32.0,31.42,32.28,31.12,12247761,385672912.0,3.68,-0.44,-0.14,1.62
2025-12-01,31.54,35.8,36.0,31.5,109121334,3760107264.0,14.32,13.94,4.38,14.44
2025-12-02,36.1,33.78,36.2,33.2,73551035,2524014896.0,8.38,-5.64,-2.02,9.74
2025-12-03,33.5,32.56,34.24,32.24,39842356,1314257888.0,5.92,-3.61,-1.22,5.27
2025-12-04,32.4,32.72,33.22,32.36,17064117,559735264.0,2.64,0.49,0.16,2.26
2025-12-05,32.9,32.38,33.18,32.08,16804700,544913344.0,3.36,-1.04,-0.34,2.22
2025-12-08,32.42,32.24,32.84,32.0,25089348,813882032.0,2.59,-0.43,-0.14,3.32
2025-12-09,32.1,32.06,33.16,31.9,17198204,558661264.0,3.91,-0.56,-0.18,2.28
2025-12-10,32.3,31.64,32.32,30.82,20297642,636198832.0,4.68,-1.31,-0.42,2.69
2025-12-11,30.72,27.5,30.72,27.34,106377512,3035969408.0,10.68,-13.08,-4.14,14.08
2025-12-12,27.0,28.6,28.98,26.9,49897156,1399587312.0,7.56,4.0,1.1,6.6
2025-12-15,28.38,27.82,28.44,27.7,13924195,389836608.0,2.59,-2.73,-0.78,1.84
2025-12-16,27.8,26.72,27.92,26.42,24513380,655416240.0,5.39,-3.95,-1.1,3.24
2025-12-17,26.88,27.34,27.4,26.58,18370203,495926368.0,3.07,2.32,0.62,2.43
2025-12-18,27.06,26.94,27.4,26.74,12474481,336102544.0,2.41,-1.46,-0.4,1.65
2025-12-19,27.1,27.08,27.4,26.96,13440892,365130784.0,1.63,0.52,0.14,1.78
2025-12-22,27.32,27.54,27.72,27.26,13833551,381082368.0,1.7,1.7,0.46,1.83
