date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-15,70.2,71.0,71.45,70.2,36624097,2593162624.0,1.78,1.28,0.9,0.35
2025-10-16,70.75,70.6,70.9,69.9,33928807,2393404160.0,1.41,-0.56,-0.4,0.32
2025-10-17,69.95,69.05,71.4,68.95,30498791,2125786928.0,3.47,-2.2,-1.55,0.29
2025-10-20,70.9,72.1,72.6,70.9,32783475,2356529504.0,2.46,4.42,3.05,0.31
2025-10-21,72.5,72.9,73.9,72.45,20074330,1469268944.0,2.01,1.11,0.8,0.19
2025-10-22,71.65,70.55,72.0,70.55,35604408,2526431216.0,1.99,-3.22,-2.35,0.34
2025-10-23,70.7,70.9,71.55,70.5,18605052,1318979744.0,1.49,0.5,0.35,0.18
2025-10-24,71.4,71.05,71.5,70.8,12246878,870725680.0,0.99,0.21,0.15,0.12
2025-10-27,71.9,72.15,72.9,71.35,23286908,1676713792.0,2.18,1.55,1.1,0.22
2025-10-28,72.8,74.6,74.7,72.55,43540129,3223432656.0,2.98,3.4,2.45,0.41
2025-10-30,74.65,73.2,75.35,73.0,35597343,2636074208.0,3.15,-1.88,-1.4,0.34
2025-10-31,76.1,75.45,76.8,74.8,45248578,3411340000.0,2.73,3.07,2.25,0.43
2025-11-03,77.45,79.95,79.95,76.95,62096055,4880398080.0,3.98,5.96,4.5,0.59
2025-11-04,80.35,79.65,80.6,79.4,36774646,2942446144.0,1.5,-0.38,-0.3,0.35
2025-11-05,78.45,79.6,80.15,77.8,35048103,2776077456.0,2.95,-0.06,-0.05,0.33
2025-11-06,80.0,81.2,81.45,79.95,34255389,2768874272.0,1.88,2.01,1.6,0.33
2025-11-07,81.2,81.5,81.6,80.55,23373024,1899839408.0,1.29,0.37,0.3,0.22
2025-11-10,81.15,81.3,81.9,80.35,21970167,1784181344.0,1.9,-0.25,-0.2,0.21
2025-11-11,81.65,82.35,83.55,81.5,29262423,2412355712.0,2.52,1.29,1.05,0.28
2025-11-12,83.05,84.1,84.6,83.0,22823229,1915060608.0,1.94,2.13,1.75,0.22
2025-11-13,83.25,84.15,84.95,83.25,22343163,1879567200.0,2.02,0.06,0.05,0.21
