date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-12-09,4.5,4.39,4.51,4.37,152542332,672015088.0,3.1,-2.88,-0.13,0.64
2025-12-10,4.39,4.34,4.39,4.29,129404676,560032896.0,2.28,-1.14,-0.05,0.54
2025-12-11,4.35,4.29,4.37,4.28,85974232,370492384.0,2.07,-1.15,-0.05,0.36
2025-12-12,4.32,4.34,4.35,4.29,88272789,381501584.0,1.4,1.17,0.05,0.37
2025-12-15,4.3,4.42,4.46,4.27,232666606,1024484688.0,4.38,1.84,0.08,0.97
2025-12-16,4.41,4.37,4.42,4.31,122966449,534990944.0,2.49,-1.13,-0.05,0.51
2025-12-17,4.36,4.45,4.47,4.31,144668002,641196080.0,3.66,1.83,0.08,0.6
2025-12-18,4.44,4.6,4.62,4.43,318768784,1456674864.0,4.27,3.37,0.15,1.33
2025-12-19,4.59,4.53,4.59,4.5,168743306,765113184.0,1.96,-1.52,-0.07,0.7
2025-12-22,4.54,4.51,4.55,4.47,83366430,375492352.0,1.77,-0.44,-0.02,0.35
2025-12-23,4.51,4.53,4.56,4.49,64714422,292741008.0,1.55,0.44,0.02,0.27
2025-12-24,4.53,4.53,4.56,4.5,64200630,291107824.0,1.32,0.0,0.0,0.27
2025-12-29,4.54,4.59,4.64,4.53,171003780,786722640.0,2.43,1.32,0.06,0.71
2025-12-30,4.58,4.68,4.75,4.57,283639616,1325889792.0,3.92,1.96,0.09,1.19
2025-12-31,4.68,4.67,4.75,4.66,109303837,514760064.0,1.92,-0.21,-0.01,0.46
2026-01-02,4.66,4.7,4.72,4.65,54701539,256149415.0,1.5,0.64,0.03,0.23
2026-01-05,4.66,4.61,4.67,4.55,192124643,885737856.0,2.55,-1.91,-0.09,0.81
2026-01-06,4.62,4.7,4.71,4.5,279683968,1299095232.0,4.56,1.95,0.09,1.18
2026-01-07,4.68,4.74,4.75,4.59,388968528,1819919440.0,3.4,0.85,0.04,1.64
2026-01-08,4.72,4.68,4.74,4.63,202126380,945383968.0,2.32,-1.27,-0.06,0.85
