date,open,high,low,close,volume,amount,change_pct
2025-07-08,35.74,36.53,35.66,36.35,1480500,53728439.0,1.6499
2025-07-09,36.27,36.66,36.26,36.42,1207100,44000979.0,0.1926
2025-07-10,36.64,36.68,35.91,36.1,1186700,42872208.0,-0.8786
2025-07-11,36.18,36.4,35.83,36.35,1230830,44488607.7,0.6925
2025-07-14,36.2,36.6,36.08,36.5,1141200,41542152.5,0.4127
2025-07-15,36.33,36.64,35.91,36.51,1377650,50001006.0,0.0274
2025-07-16,36.67,37.58,36.52,36.75,2193550,80760567.35,0.6574
2025-07-17,36.73,36.85,36.44,36.8,1636350,59965847.5,0.1361
2025-07-18,37.09,37.12,36.49,36.65,1549700,56888824.0,-0.4076
2025-07-21,36.5,37.44,36.45,37.31,2165550,80183872.5,1.8008
2025-07-22,37.58,37.68,36.94,37.18,1903900,70851892.5,-0.3484
2025-07-23,37.37,37.37,36.83,36.99,1591200,58919538.65,-0.511
2025-07-24,37.12,37.39,36.79,36.98,1953050,72337203.75,-0.027
2025-07-25,36.95,37.34,36.83,37.3,1723350,63971210.0,0.8653
2025-07-28,37.34,37.6,37.13,37.54,1442700,53908484.24,0.6434
2025-07-29,37.51,37.53,37.11,37.5,1115550,41653293.0,-0.1066
2025-07-30,37.34,37.49,36.72,37.11,2035803,75413476.96,-1.04
2025-07-31,37.03,37.4,36.37,36.58,2283600,84237218.0,-1.4282
2025-08-01,36.75,37.56,36.46,37.38,3126250,116295237.5,2.187
2025-08-04,37.36,37.95,37.0,37.92,2465350,92898416.22,1.4446
2025-08-05,37.95,38.22,37.68,38.17,2069900,78642227.0,0.6593
2025-08-06,38.29,41.9,38.02,41.48,8245955,330046839.09,8.6717
2025-08-07,40.97,40.97,39.33,39.71,7511520,299219846.0,-4.2671
2025-08-08,39.68,39.75,38.73,39.2,4019492,157348160.36,-1.2843
2025-08-11,39.18,39.77,38.84,39.56,3191500,125987531.42,0.9184
2025-08-12,39.5,39.73,39.2,39.44,2491008,98255265.2,-0.3033
2025-08-13,39.53,39.59,38.97,39.22,3092546,121238388.66,-0.5578
2025-08-14,39.28,39.44,38.21,38.21,2655250,102682807.76,-2.5752
2025-08-15,38.33,38.86,38.25,38.83,2175700,84092993.0,1.6226
2025-08-18,38.83,39.54,38.8,39.38,3131188,122994283.91,1.4164
2025-08-19,37.88,38.0,37.21,37.55,5916543,222206970.88,-4.647
2025-08-20,37.5,37.65,37.07,37.63,2556899,95408286.37,0.213
2025-08-21,37.58,37.83,37.24,37.51,2441322,91631481.78,-0.3189
2025-08-22,37.38,37.66,37.35,37.48,2314706,86762889.71,-0.08
2025-08-25,37.66,37.75,37.2,37.46,3099002,116184872.7,-0.0534
2025-08-26,37.5,38.17,37.22,38.05,3057151,115956386.73,1.575
2025-08-27,38.09,38.25,36.69,36.69,3093440,116307239.1,-3.5742
2025-08-28,36.55,36.9,35.05,36.37,3776314,136070496.42,-0.8722
2025-08-29,36.15,36.23,35.51,36.09,1890790,67939919.63,-0.7699
2025-09-01,36.23,36.32,35.21,35.55,2944643,104836525.7,-1.4963
2025-09-02,35.5,35.52,34.38,35.03,2186495,76182529.18,-1.4627
2025-09-03,35.06,35.19,34.06,34.14,1630734,56422345.7,-2.5407
2025-09-04,34.3,34.54,33.37,33.81,2181584,74185468.13,-0.9666
2025-09-05,34.0,34.93,33.75,34.73,1962562,67639582.2,2.7211
2025-09-08,34.77,36.36,34.6,35.78,2621780,92738680.14,3.0233
2025-09-09,35.53,35.53,34.71,34.96,2156103,75514445.52,-2.2918
2025-09-10,34.8,35.14,34.64,34.86,1086317,37872113.57,-0.286
2025-09-11,34.82,35.19,34.46,35.16,1830180,63964364.4,0.8606
2025-09-12,35.25,35.32,34.85,35.09,1479012,51882969.79,-0.1991
2025-09-15,35.0,35.09,34.62,34.66,1321251,45919437.23,-1.2254
2025-09-16,34.68,35.29,34.58,35.18,1520738,53187033.52,1.5003
2025-09-17,35.15,35.45,35.01,35.39,1564066,55266432.84,0.5969
2025-09-18,35.42,36.1,34.85,35.14,2949043,104805843.61,-0.7064
2025-09-19,35.1,35.35,34.49,34.74,1666158,57954341.66,-1.1383
2025-09-22,34.87,34.87,34.3,34.54,864363,29829626.59,-0.5757
2025-09-23,34.45,34.55,33.36,34.0,1811076,61161442.3,-1.5634
2025-09-24,33.87,34.68,33.66,34.68,1295919,44554986.35,2.0
2025-09-25,34.6,35.17,34.6,34.75,1453853,50786825.91,0.2018
2025-09-26,34.7,34.98,34.23,34.25,1133400,39187991.5,-1.4388
2025-09-29,34.33,34.65,33.81,34.58,1172788,40258049.17,0.9635
2025-09-30,34.64,34.96,34.56,34.87,1032410,35905281.66,0.8386
2025-10-09,35.0,35.22,34.62,35.05,1407716,49265131.73,0.5162
2025-10-10,34.85,35.0,34.51,34.53,1276700,44280474.0,-1.4836
2025-10-13,33.75,34.53,33.37,34.34,1204297,41041357.28,-0.5502
2025-10-14,34.93,34.93,33.83,34.04,1191050,40827145.5,-0.8736
2025-10-15,34.11,34.62,33.8,34.45,914882,31403588.9,1.2045
2025-10-16,34.15,34.35,33.87,34.03,847042,28835583.98,-1.2192
2025-10-17,33.93,34.06,32.88,32.88,1557650,51948896.0,-3.3794
2025-10-20,33.28,33.47,32.98,33.36,849700,28285283.0,1.4599
2025-10-21,33.48,34.18,33.23,34.18,1255250,42657868.5,2.458
2025-10-22,33.95,35.66,33.88,34.53,1897496,65813778.67,1.024
2025-10-23,34.42,34.95,34.15,34.74,1441141,49733243.96,0.6082
2025-10-24,34.18,34.76,34.13,34.76,1421589,49139184.52,0.0576
2025-10-27,34.87,34.92,34.41,34.58,1430986,49571631.02,-0.5178
2025-10-28,34.5,34.98,34.5,34.74,1176400,40904280.0,0.4627
2025-10-29,34.9,34.9,34.34,34.59,1040500,35940042.5,-0.4318
2025-10-30,34.63,34.65,34.18,34.19,1073291,36917080.36,-1.1564
2025-10-31,34.19,34.71,33.95,34.5,1199600,41418864.0,0.9067
2025-11-03,34.53,34.79,34.35,34.75,1180483,40854363.08,0.7246
2025-11-04,34.76,34.76,34.15,34.33,998200,34331527.0,-1.2086
2025-11-05,34.03,34.56,34.02,34.43,805850,27658391.0,0.2913
2025-11-06,34.42,35.15,34.2,35.01,1519980,52813517.3,1.6846
2025-11-07,34.88,34.99,34.63,34.79,907200,31550243.0,-0.6284
2025-11-10,34.73,34.99,34.63,34.93,905997,31566603.05,0.4024
2025-11-11,34.97,34.99,34.53,34.8,898333,31235245.04,-0.3722
2025-11-12,34.82,34.82,34.33,34.55,851550,29426894.0,-0.7184
2025-11-13,34.57,34.87,34.35,34.87,957800,33246256.0,0.9262
2025-11-14,34.72,34.98,34.54,34.55,794614,27657552.86,-0.9177
2025-11-17,34.56,34.9,34.4,34.81,1030650,35812578.0,0.7525
2025-11-18,34.75,35.28,34.64,35.13,1710450,59951496.0,0.9193
2025-11-19,35.08,35.19,34.15,34.18,1335400,46128984.0,-2.7042
2025-11-20,34.16,34.42,33.41,33.67,999916,33744788.23,-1.4921
2025-11-21,33.15,33.8,32.12,32.26,1314081,42965211.3,-4.1877
2025-11-24,32.39,33.57,32.29,33.31,1005029,33217667.58,3.2548
