date,open,high,low,close,volume,amount,change_pct
2025-07-08,41.44,42.31,41.33,41.67,1551375,64768082.0,0.555
2025-07-09,41.77,41.8,40.86,41.58,1518600,62608561.0,-0.216
2025-07-10,41.4,42.62,41.06,41.23,2093700,87206853.0,-0.8418
2025-07-11,41.15,41.87,39.8,40.0,2734190,110472574.8,-2.9833
2025-07-14,40.26,40.73,39.37,39.96,2079100,83441748.0,-0.1
2025-07-15,40.02,40.49,39.33,39.77,1596414,63474958.14,-0.4755
2025-07-16,39.97,40.12,39.58,39.9,1225500,48816460.0,0.3269
2025-07-17,40.31,41.29,39.84,40.79,1944800,79009506.0,2.2306
2025-07-18,40.8,41.34,40.51,41.0,1532600,62801534.0,0.5148
2025-07-21,41.0,41.98,40.72,41.53,1446846,60004860.28,1.2927
2025-07-22,41.54,41.97,41.0,41.13,1557596,64576263.52,-0.9632
2025-07-23,41.49,41.49,40.21,40.3,1529655,62014660.19,-2.018
2025-07-24,40.3,40.89,40.21,40.33,1114550,45153624.0,0.0744
2025-07-25,40.33,40.93,39.96,40.82,1471100,59368570.0,1.215
2025-07-28,40.8,41.36,40.45,41.32,1488000,60998054.0,1.2249
2025-07-29,41.2,41.43,40.36,40.77,1163290,47340734.84,-1.3311
2025-07-30,40.77,41.13,40.11,40.77,975900,39674946.0,0.0
2025-07-31,40.42,41.13,40.25,40.72,1258900,51036495.0,-0.1226
2025-08-01,40.77,44.18,39.01,40.56,4525294,186609606.94,-0.3929
2025-08-04,40.0,40.6,39.58,39.87,2355100,94149409.0,-1.7012
2025-08-05,40.24,40.5,39.8,40.27,1475124,59115186.52,1.0033
2025-08-06,40.38,41.48,40.28,41.28,1554970,63361804.6,2.5081
2025-08-07,41.29,41.8,40.9,41.03,1594300,65825364.0,-0.6056
2025-08-08,40.83,41.1,39.57,39.98,1801775,72016454.0,-2.5591
2025-08-11,39.98,40.97,39.9,40.6,1663100,67620334.0,1.5508
2025-08-12,40.85,41.46,39.9,40.11,1940500,78366158.0,-1.2069
2025-08-13,40.12,40.43,39.21,39.3,2594506,102818737.24,-2.0194
2025-08-14,39.35,40.38,38.25,39.01,2715580,105930627.0,-0.7379
2025-08-15,38.82,40.23,38.56,39.6,1864775,73912059.0,1.5124
