date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-15,8.88,8.87,8.93,8.66,164386400,1445277552.0,3.1,1.72,0.15,1.31
2025-10-16,9.01,8.76,9.02,8.66,118452650,1043895760.0,4.06,-1.24,-0.11,0.95
2025-10-17,8.8,8.07,8.8,8.03,285928080,2348621136.0,8.79,-7.88,-0.69,2.28
2025-10-20,8.34,8.26,8.34,8.07,162034568,1325969584.0,3.35,2.35,0.19,1.29
2025-10-21,8.34,8.61,8.88,8.26,237795793,2062806432.0,7.51,4.24,0.35,1.9
2025-10-22,8.62,8.52,8.84,8.47,139033370,1199602208.0,4.3,-1.05,-0.09,1.11
2025-10-23,8.38,8.35,8.51,8.18,126959902,1055676288.0,3.87,-2.0,-0.17,1.01
2025-10-24,8.58,8.88,8.91,8.49,215266986,1882585552.0,5.03,6.35,0.53,1.72
2025-10-27,9.24,9.11,9.27,8.92,231812833,2107522496.0,3.94,2.59,0.23,1.85
2025-10-28,9.2,9.11,9.33,9.05,155637194,1429864784.0,3.07,0.0,0.0,1.24
2025-10-30,9.29,9.04,9.44,8.84,232988281,2123043952.0,6.59,-0.77,-0.07,1.86
2025-10-31,9.0,8.8,9.08,8.78,103148086,916027888.0,3.32,-2.65,-0.24,0.82
2025-11-03,8.88,8.72,8.91,8.56,117898188,1026495440.0,3.98,-0.91,-0.08,0.94
2025-11-04,8.72,8.45,8.77,8.25,162206293,1367846032.0,5.96,-3.1,-0.27,1.29
2025-11-05,8.3,8.33,8.43,8.08,163181739,1343278896.0,4.14,-1.42,-0.12,1.3
2025-11-06,8.41,8.62,8.68,8.25,123362326,1046150480.0,5.16,3.48,0.29,0.98
2025-11-07,8.52,8.35,8.53,8.3,114449594,959575584.0,2.67,-3.13,-0.27,0.91
2025-11-10,8.41,8.29,8.45,8.12,121679781,1004591056.0,3.95,-0.72,-0.06,0.97
2025-11-11,8.33,8.3,8.44,8.15,98033359,809798416.0,3.5,0.12,0.01,0.78
2025-11-12,8.35,8.33,8.4,8.21,97276086,808583696.0,2.29,0.36,0.03,0.78
2025-11-13,8.31,8.44,8.45,8.21,117613582,978750784.0,2.88,1.32,0.11,0.94
2025-11-14,8.3,8.25,8.44,8.23,76794403,637431760.0,2.49,-2.25,-0.19,0.61
2025-11-17,8.25,7.91,8.28,7.68,250476764,1977891328.0,7.27,-4.12,-0.34,2.0
2025-11-18,7.77,7.63,7.85,7.56,198540456,1520542848.0,3.67,-3.54,-0.28,1.58
2025-11-19,7.66,7.49,7.7,7.39,147922365,1109390736.0,4.06,-1.83,-0.14,1.18
2025-11-20,7.63,7.46,7.65,7.28,122293031,907870656.0,4.94,-0.4,-0.03,0.98
2025-11-21,7.2,7.24,7.39,7.11,167026995,1210194800.0,3.75,-2.95,-0.22,1.33
2025-11-24,7.34,7.58,7.58,7.27,246103310,1840655456.0,4.28,4.7,0.34,1.96
2025-11-25,7.77,7.54,7.78,7.44,124030327,942214576.0,4.49,-0.53,-0.04,0.99
2025-11-26,7.6,7.56,7.69,7.48,92642087,702844144.0,2.79,0.27,0.02,0.74
2025-11-27,7.56,7.56,7.64,7.47,65393388,493824928.0,2.25,0.0,0.0,0.52
2025-11-28,7.58,7.88,7.92,7.55,118738501,928484016.0,4.89,4.23,0.32,0.95
2025-12-01,7.92,8.03,8.16,7.83,104197048,836971312.0,4.19,1.9,0.15,0.83
2025-12-02,8.04,8.0,8.14,7.91,88099859,703079424.0,2.86,-0.37,-0.03,0.7
2025-12-03,8.03,7.75,8.05,7.71,116723873,911142944.0,4.25,-3.13,-0.25,0.93
