date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-01-13,61.668,60.368,61.718,58.868,15319479,933976384.0,4.58,-2.9,-1.8,1.4
2025-01-14,60.618,62.618,63.568,60.168,9498557,597874208.0,5.63,3.73,2.25,0.87
2025-01-15,62.968,62.818,63.118,61.518,8822738,555046384.0,2.56,0.32,0.2,0.81
2025-01-16,63.068,62.668,63.468,61.068,8372330,525410320.0,3.82,-0.24,-0.15,0.76
2025-01-17,61.768,62.318,63.868,61.368,7799204,489417760.0,3.99,-0.56,-0.35,0.71
2025-01-20,62.768,64.918,65.818,62.768,11267166,736568592.0,4.89,4.17,2.6,1.03
2025-01-21,65.768,69.668,70.118,65.068,16169726,1112766272.0,7.78,7.32,4.75,1.48
2025-01-22,68.968,69.318,70.968,67.868,9436311,658199872.0,4.45,-0.5,-0.35,0.86
2025-01-23,68.768,67.068,69.418,66.618,9100581,621340208.0,4.04,-3.25,-2.25,0.83
2025-01-24,67.418,72.468,73.268,67.418,17556415,1260323008.0,8.72,8.05,5.4,1.6
2025-01-27,72.468,69.618,73.018,68.718,16030168,1133383136.0,5.93,-3.93,-2.85,1.46
2025-01-28,69.618,68.818,69.968,68.218,3942396,274430528.0,2.51,-1.15,-0.8,0.36
2025-02-03,68.268,69.718,69.918,66.968,5247592,363078192.0,4.29,1.31,0.9,0.48
2025-02-04,70.668,71.718,72.068,69.968,10255056,736338992.0,3.01,2.87,2.0,0.94
2025-02-05,72.268,71.818,74.318,70.018,16373732,1191792224.0,6.0,0.14,0.1,1.5
2025-02-06,71.868,78.968,79.768,71.868,25110870,1966435248.0,11.0,9.96,7.15,2.29
2025-02-07,79.568,80.168,82.868,79.018,26719574,2176670432.0,4.88,1.52,1.2,2.44
2025-02-10,80.168,81.968,82.468,78.968,16993505,1390732960.0,4.37,2.25,1.8,1.55
2025-02-11,82.868,84.468,89.618,82.268,29263701,2523445104.0,8.97,3.05,2.5,2.67
2025-02-12,86.468,88.068,90.268,85.268,22234201,1958064240.0,5.92,4.26,3.6,2.03
2025-02-13,88.468,86.818,93.168,85.968,31995105,2884262096.0,8.18,-1.42,-1.25,2.92
2025-02-14,88.468,87.018,89.168,85.218,27364943,2396383904.0,4.55,0.23,0.2,2.5
2025-02-17,86.368,83.918,86.368,81.868,24062254,2023102768.0,5.17,-3.56,-3.1,2.2
2025-02-18,84.368,85.568,86.568,83.718,15082574,1293796960.0,3.4,1.97,1.65,1.38
2025-02-19,85.568,90.218,90.268,84.468,17510846,1566785504.0,6.78,5.43,4.65,1.6
2025-02-20,90.218,89.768,92.868,88.568,15459743,1407491856.0,4.77,-0.5,-0.45,1.41
2025-02-21,91.268,91.018,91.768,88.268,14226311,1296270688.0,3.9,1.39,1.25,1.3
2025-02-24,90.968,88.468,90.968,86.268,17091397,1517415280.0,5.16,-2.8,-2.55,1.56
2025-02-25,85.568,90.018,92.518,84.518,18090002,1634677792.0,9.04,1.75,1.55,1.65
2025-02-26,90.468,90.668,92.118,89.318,10090186,921668960.0,3.11,0.72,0.65,0.92
2025-02-27,89.468,93.368,94.368,88.868,18019520,1671160000.0,6.07,2.98,2.7,1.65
2025-02-28,92.768,86.118,92.768,85.268,23400583,2056413264.0,8.03,-7.76,-7.25,2.14
2025-03-03,87.468,84.118,87.818,82.468,17814081,1511275536.0,6.21,-2.32,-2.0,1.63
2025-03-04,81.468,85.818,86.868,79.568,14480195,1229279968.0,8.68,2.02,1.7,1.32
2025-03-05,86.868,88.618,89.068,85.118,10583859,933822048.0,4.6,3.26,2.8,0.97
2025-03-06,89.018,92.518,95.618,89.018,16399995,1524680000.0,7.45,4.4,3.9,1.5
2025-03-07,92.218,89.468,92.468,88.618,11911857,1080691248.0,4.16,-3.3,-3.05,1.09
2025-03-10,88.468,87.268,89.168,85.318,12019019,1051625360.0,4.3,-2.46,-2.2,1.1
2025-03-11,83.768,87.668,88.168,82.668,12545102,1085742256.0,6.3,0.46,0.4,1.15
2025-03-12,87.368,86.568,91.068,85.518,10301321,907927360.0,6.33,-1.25,-1.1,0.94
2025-03-13,86.568,85.668,88.118,83.868,8628342,740871744.0,4.91,-1.04,-0.9,0.79
2025-03-14,85.818,85.868,87.618,84.518,8644850,749997280.0,3.62,0.23,0.2,0.79
2025-03-17,86.068,85.068,87.268,83.568,10822897,921848032.0,4.31,-0.93,-0.8,0.99
2025-03-18,86.868,87.918,88.018,85.468,10000306,878383840.0,3.0,3.35,2.85,0.91
2025-03-19,88.118,87.968,90.218,86.968,9595365,855507488.0,3.7,0.06,0.05,0.88
2025-03-20,87.768,85.818,87.818,84.868,9688746,839746288.0,3.35,-2.44,-2.15,0.88
2025-03-21,84.968,84.068,87.618,83.668,13756646,1172261456.0,4.6,-2.04,-1.75,1.26
2025-03-24,84.118,85.018,85.218,82.668,13605320,1150316352.0,3.03,1.13,0.95,1.24
2025-03-25,82.968,76.418,83.468,75.268,36662818,2862697872.0,9.65,-10.12,-8.6,3.35
2025-03-26,76.418,74.718,76.768,74.068,17991058,1355236080.0,3.53,-2.22,-1.7,1.64
2025-03-27,74.468,74.918,76.068,72.168,14896264,1116201200.0,5.22,0.27,0.2,1.36
2025-03-28,75.218,72.318,75.668,71.818,13351886,977355456.0,5.14,-3.47,-2.6,1.22
2025-03-31,71.968,70.818,72.568,69.668,13448944,961368528.0,4.01,-2.07,-1.5,1.23
2025-04-01,71.418,72.018,74.168,70.668,13849416,1013717056.0,4.94,1.69,1.2,1.27
2025-04-02,72.018,74.068,76.418,71.818,17151142,1291427712.0,6.39,2.85,2.05,1.57
2025-04-03,71.468,69.118,71.468,67.168,31154318,2158154016.0,5.81,-6.68,-4.95,2.85
2025-04-07,58.718,54.868,59.918,54.318,55236666,3152438784.0,8.1,-20.62,-14.25,5.05
2025-04-08,54.568,56.018,56.968,52.318,31267727,1739318176.0,8.47,2.1,1.15,2.86
2025-04-09,52.168,58.468,59.618,50.668,32797286,1844251120.0,15.98,4.37,2.45,3.0
2025-04-10,64.468,61.668,67.868,61.118,33613114,2170120832.0,11.54,5.47,3.2,3.07
2025-04-11,60.968,65.018,65.568,59.518,29471168,1884927904.0,9.81,5.43,3.35,2.69
2025-04-14,69.068,65.118,69.518,64.568,19732575,1319301024.0,7.61,0.15,0.1,1.8
