date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-16,44.1,43.04,44.84,42.76,1607424,69676580.0,4.71,-2.62,-1.16,0.63
2025-10-17,43.66,40.92,43.66,40.48,2609596,108296518.0,7.39,-4.93,-2.12,1.02
2025-10-20,42.9,41.58,42.9,41.0,1393847,58118631.0,4.64,1.61,0.66,0.54
2025-10-21,42.34,42.44,43.4,41.68,1200544,51294813.0,4.14,2.07,0.86,0.47
2025-10-22,42.96,42.3,43.32,42.02,834899,35560694.0,3.06,-0.33,-0.14,0.33
2025-10-23,42.0,41.62,42.32,40.84,1213928,50221979.0,3.5,-1.61,-0.68,0.47
2025-10-24,42.0,42.6,42.7,41.8,867742,36781740.0,2.16,2.35,0.98,0.34
2025-10-27,43.02,42.86,43.5,42.28,948557,40631626.0,2.86,0.61,0.26,0.37
2025-10-28,43.32,43.48,44.3,42.56,1791952,77994358.0,4.06,1.45,0.62,0.7
2025-10-30,44.5,42.34,44.5,41.72,1458301,61922534.0,6.39,-2.62,-1.14,0.57
2025-10-31,42.3,43.5,44.18,41.4,1845873,79481365.0,6.57,2.74,1.16,0.72
2025-11-03,44.0,45.64,46.3,43.44,3180563,144477657.0,6.57,4.92,2.14,1.24
2025-11-04,46.0,44.88,46.0,44.06,990869,44370014.0,4.25,-1.67,-0.76,0.39
2025-11-05,44.88,42.3,44.88,41.6,2238084,95305522.0,7.31,-5.75,-2.58,0.87
2025-11-06,42.32,42.0,42.82,41.82,1649360,69540061.0,2.36,-0.71,-0.3,0.64
2025-11-07,41.5,40.0,41.5,39.98,1920007,77467655.0,3.62,-4.76,-2.0,0.75
2025-11-10,40.08,40.46,40.88,39.86,1841493,74253192.0,2.55,1.15,0.46,0.72
2025-11-11,41.0,42.46,42.86,40.52,3466016,144862216.0,5.78,4.94,2.0,1.35
2025-11-12,42.4,40.72,42.4,40.44,1549918,63692557.0,4.62,-4.1,-1.74,0.6
2025-11-13,41.52,41.32,41.68,40.1,1765725,72325275.0,3.88,1.47,0.6,0.69
2025-11-14,40.78,40.16,40.78,39.68,1153422,46390459.0,2.66,-2.81,-1.16,0.45
2025-11-17,40.7,40.58,40.7,39.62,986718,39658590.0,2.69,1.05,0.42,0.39
2025-11-18,40.48,39.04,40.84,39.04,1297743,51660394.0,4.44,-3.79,-1.54,0.51
2025-11-19,39.8,41.72,43.16,39.3,6361790,262118925.0,9.89,6.86,2.68,2.48
2025-11-20,42.0,37.88,42.3,36.2,8815842,337083920.0,14.62,-9.2,-3.84,3.44
2025-11-21,36.5,36.74,37.78,36.1,3006854,110399148.0,4.44,-3.01,-1.14,1.17
2025-11-24,36.74,38.22,38.84,36.42,2951366,111896701.0,6.59,4.03,1.48,1.15
2025-11-25,38.46,38.46,39.8,38.0,3827026,148886555.0,4.71,0.63,0.24,1.49
2025-11-26,38.38,37.06,38.66,37.0,2191435,82674578.0,4.32,-3.64,-1.4,0.86
2025-11-27,37.06,36.64,37.28,36.58,1377436,50747431.0,1.89,-1.13,-0.42,0.54
2025-11-28,36.44,37.3,37.5,36.44,1269044,47066391.0,2.89,1.8,0.66,0.5
2025-12-01,37.24,36.88,37.5,36.5,1169708,43190114.0,2.68,-1.13,-0.42,0.46
2025-12-02,36.88,35.2,37.26,34.62,2623334,93009544.0,7.16,-4.56,-1.68,1.02
2025-12-03,35.12,33.8,35.14,33.58,1839931,62500775.0,4.43,-3.98,-1.4,0.72
2025-12-04,33.7,34.02,34.52,33.8,1234791,42090498.0,2.13,0.65,0.22,0.48
2025-12-05,34.0,33.78,34.2,32.84,1963441,65356195.0,4.0,-0.71,-0.24,0.77
2025-12-08,34.0,33.28,34.04,33.1,1708916,57169064.0,2.78,-1.48,-0.5,0.67
2025-12-09,33.6,32.96,33.66,32.82,1292979,42888761.0,2.52,-0.96,-0.32,0.5
2025-12-10,32.68,32.18,32.96,31.5,1690922,54142846.0,4.43,-2.37,-0.78,0.66
2025-12-11,32.2,31.1,32.56,30.86,2781114,87097062.0,5.28,-3.36,-1.08,1.09
2025-12-12,31.2,31.68,31.92,31.14,2158411,68098118.0,2.51,1.86,0.58,0.84
2025-12-15,31.02,30.36,31.6,30.26,2288912,70290936.0,4.23,-4.17,-1.32,0.89
2025-12-16,30.28,29.02,30.54,28.88,2241010,65623395.0,5.47,-4.41,-1.34,0.87
2025-12-17,29.02,28.64,29.4,28.38,2182910,62510055.0,3.51,-1.31,-0.38,0.85
2025-12-18,28.54,29.06,29.64,27.36,1830009,52810833.0,7.96,1.47,0.42,0.71
2025-12-19,29.2,29.42,30.2,29.06,1405428,41571711.0,3.92,1.24,0.36,0.55
2025-12-22,29.46,29.66,30.28,29.46,1239681,36944946.0,2.79,0.82,0.24,0.48
2025-12-23,29.96,28.96,29.96,28.48,1634146,47154687.0,4.99,-2.36,-0.7,0.64
2025-12-24,28.56,29.5,29.5,28.28,1045524,29855896.0,4.21,1.86,0.54,0.41
2025-12-29,29.5,30.0,30.28,29.36,5050349,144123987.0,3.12,1.69,0.5,1.97
2025-12-30,30.02,33.32,33.9,29.98,7988125,261080785.0,13.07,11.07,3.32,3.12
2025-12-31,33.8,35.02,35.28,33.06,5087000,175953936.0,6.66,5.1,1.7,1.99
2026-01-02,33.5,37.06,37.28,33.5,1216226,44216339.0,10.79,5.83,2.04,0.47
2026-01-05,37.08,37.72,38.62,35.52,6260056,234963042.0,8.36,1.78,0.66,2.44
2026-01-06,38.12,37.72,39.28,37.4,4573190,175558261.0,4.98,0.0,0.0,1.78
2026-01-07,37.76,38.08,38.66,37.32,2515063,95305819.0,3.55,0.95,0.36,0.98
2026-01-08,38.88,37.8,38.88,37.2,2668929,100569322.0,4.41,-0.74,-0.28,1.04
2026-01-09,37.96,38.8,39.52,37.42,3489905,135347020.0,5.56,2.65,1.0,1.36
2026-01-12,41.3,51.25,51.5,41.3,21070435,984317216.0,26.29,32.09,12.45,8.23
2026-01-13,52.25,51.95,56.2,48.6,16925523,891332720.0,14.83,1.37,0.7,6.61
2026-01-14,52.45,54.15,59.0,51.1,12209600,680077088.0,15.21,4.23,2.2,4.77
