date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-07-09,18.77,19.73,19.87,18.43,140581771,2694520768.0,7.97,9.19,1.66,53.6
2025-07-10,19.59,19.45,19.73,18.99,22059486,428116784.0,3.75,-1.42,-0.28,8.41
2025-07-11,19.27,18.51,19.39,18.43,18629000,353667216.0,4.94,-4.83,-0.94,7.1
2025-07-14,18.35,18.89,19.11,18.19,11489089,216974784.0,4.97,2.05,0.38,4.38
2025-07-15,18.91,19.33,19.39,18.51,15107400,288285328.0,4.66,2.33,0.44,5.76
2025-07-16,19.25,19.23,19.65,19.13,10633600,207079084.0,2.69,-0.52,-0.1,4.05
2025-07-17,19.25,20.79,21.09,19.23,24329860,493963600.0,9.67,8.11,1.56,9.28
2025-07-18,21.09,20.69,21.14,20.04,12396048,255050861.0,5.29,-0.48,-0.1,4.73
2025-07-21,20.69,20.84,21.19,20.39,11734500,245432810.0,3.87,0.72,0.15,4.47
2025-07-22,20.89,21.04,21.34,20.19,7661600,159117095.0,5.52,0.96,0.2,2.92
2025-07-23,20.99,20.54,21.14,20.29,4809900,99743054.0,4.04,-2.38,-0.5,1.83
2025-07-24,20.54,20.09,20.64,19.89,7361600,148631600.0,3.65,-2.19,-0.45,2.81
2025-07-25,20.09,19.59,20.09,19.39,8271800,162885711.0,3.48,-2.49,-0.5,3.15
2025-07-28,19.63,19.99,20.14,19.61,3403629,68046842.0,2.71,2.04,0.4,1.3
2025-07-29,19.89,19.85,19.94,19.57,3244899,64354604.0,1.85,-0.7,-0.14,1.24
2025-07-30,19.85,19.75,20.19,19.59,4083720,81215290.0,3.02,-0.5,-0.1,1.56
2025-07-31,19.75,19.83,20.04,19.63,3001000,60010178.0,2.08,0.41,0.08,1.14
2025-08-01,19.89,19.11,20.19,19.09,6039700,118172930.0,5.55,-3.63,-0.72,2.3
2025-08-04,19.19,19.51,19.71,18.53,8443500,162078040.0,6.17,2.09,0.4,3.22
2025-08-05,19.99,20.39,21.03,19.85,16439200,337116832.0,6.05,4.51,0.88,6.27
2025-08-06,20.49,20.39,20.85,20.23,9029795,186689410.0,3.04,0.0,0.0,2.99
2025-08-07,20.81,20.99,21.81,20.63,20326686,432950288.0,5.79,2.94,0.6,6.74
2025-08-08,20.97,20.51,20.97,20.07,8321000,170442934.0,4.29,-2.29,-0.48,2.76
2025-08-11,20.53,21.33,21.63,20.47,16329500,349359984.0,5.66,4.0,0.82,5.41
2025-08-12,21.35,21.29,21.77,21.09,9084072,195884048.0,3.19,-0.19,-0.04,3.01
2025-08-13,21.31,21.87,22.65,21.31,13920747,308105824.0,6.29,2.72,0.58,4.62
2025-08-14,21.87,21.45,22.13,21.39,6911500,150852770.0,3.38,-1.92,-0.42,2.29
2025-08-15,21.43,21.67,21.85,21.25,5772400,125082668.0,2.8,1.03,0.22,1.91
2025-08-18,21.89,23.11,23.15,21.89,14869080,341078304.0,5.81,6.65,1.44,4.93
2025-08-19,22.95,23.03,23.39,22.79,6608134,153396701.0,2.6,-0.35,-0.08,2.19
2025-08-20,22.75,23.61,24.61,22.39,19543668,465236896.0,9.64,2.52,0.58,6.48
2025-08-21,23.69,23.53,24.89,23.47,24109606,584776272.0,6.01,-0.34,-0.08,7.99
2025-08-22,23.77,24.17,24.39,23.41,12299000,296411872.0,4.16,2.72,0.64,4.08
2025-08-25,24.61,24.53,25.31,24.37,16578675,412161248.0,3.89,1.49,0.36,5.5
2025-08-26,24.45,25.85,26.85,24.05,27003177,699345520.0,11.41,5.38,1.32,8.95
2025-08-27,27.89,27.87,29.77,27.17,45436793,1303657664.0,10.06,7.81,2.02,15.07
2025-08-28,28.05,27.39,28.27,26.61,27278587,745407664.0,5.96,-1.72,-0.48,9.04
2025-08-29,27.69,26.99,27.79,26.33,15244080,409073680.0,5.33,-1.46,-0.4,5.05
2025-09-01,26.99,27.85,27.85,26.51,12483868,342559184.0,4.96,3.19,0.86,4.14
2025-09-02,27.89,26.09,28.09,25.47,21570400,569327648.0,9.41,-6.32,-1.76,7.15
2025-09-03,26.37,26.25,26.77,25.99,8865565,235073783.0,2.99,0.61,0.16,2.94
2025-09-04,26.27,25.77,27.89,25.63,14558800,390368896.0,8.61,-1.83,-0.48,4.83
2025-09-05,26.47,26.59,26.79,25.21,10568200,278619136.0,6.13,3.18,0.82,3.5
2025-09-08,26.65,27.43,28.03,26.59,18260360,499264048.0,5.42,3.16,0.84,6.05
2025-09-09,27.63,26.47,27.63,26.13,14098800,375335840.0,5.47,-3.5,-0.96,4.67
2025-09-10,26.25,26.57,26.69,25.87,7696300,203302466.0,3.1,0.38,0.1,2.55
2025-09-11,26.57,26.57,26.75,25.71,11006200,290439856.0,3.91,0.0,0.0,3.65
2025-09-12,26.69,26.21,26.87,26.11,8974000,238045003.0,2.86,-1.35,-0.36,2.98
2025-09-15,26.29,26.15,27.29,26.09,12865404,343011536.0,4.58,-0.23,-0.06,4.27
2025-09-16,26.46,25.92,26.5,25.12,8589951,221133813.0,5.28,-0.88,-0.23,2.85
2025-09-17,26.22,28.1,28.16,25.98,28973331,797772080.0,8.41,8.41,2.18,9.61
2025-09-18,28.5,27.98,29.02,27.3,19424197,549746944.0,6.12,-0.43,-0.12,6.44
2025-09-19,28.5,27.86,28.54,27.5,6820105,190542649.0,3.72,-0.43,-0.12,2.26
2025-09-22,29.1,31.38,32.42,28.88,32508883,999321456.0,12.71,12.63,3.52,10.78
2025-09-23,31.74,29.14,32.1,28.5,20392335,606077568.0,11.47,-7.14,-2.24,6.76
2025-09-24,29.08,31.0,31.04,28.42,14381846,427482512.0,8.99,6.38,1.86,4.77
2025-09-25,30.9,30.74,31.96,30.2,11465598,354682400.0,5.68,-0.84,-0.26,3.8
2025-09-26,30.7,28.7,30.7,28.4,13724165,400673248.0,7.48,-6.64,-2.04,4.55
2025-09-29,28.72,29.34,29.78,28.32,9357230,273388352.0,5.09,2.23,0.64,3.1
2025-09-30,29.4,30.7,30.8,29.36,11144573,337372736.0,4.91,4.64,1.36,3.7
2025-10-02,30.7,33.52,33.52,30.7,10931248,358160992.0,9.19,9.19,2.82,3.62
2025-10-03,33.5,32.62,33.5,32.42,4130176,135227230.0,3.22,-2.68,-0.9,1.37
2025-10-06,32.82,33.5,33.94,32.64,3625159,121457949.0,3.99,2.7,0.88,1.2
2025-10-08,33.0,32.14,33.0,31.5,3706084,118373283.0,4.48,-4.06,-1.36,1.23
2025-10-09,32.0,31.28,32.72,30.82,12586287,398936144.0,5.91,-2.68,-0.86,4.17
2025-10-10,30.92,29.18,31.2,29.18,10012274,299237616.0,6.46,-6.71,-2.1,3.32
2025-10-13,27.0,27.4,28.26,26.4,16386166,445799296.0,6.37,-6.1,-1.78,5.43
2025-10-14,27.78,26.0,28.0,25.74,11408600,304746112.0,8.25,-5.11,-1.4,3.78
2025-10-15,26.12,26.54,26.82,25.58,9644647,254198078.0,4.77,2.08,0.54,3.2
2025-10-16,26.78,26.44,27.5,26.28,8375900,224600670.0,4.6,-0.38,-0.1,2.78
2025-10-17,26.36,25.1,26.36,24.9,6931861,175692116.0,5.52,-5.07,-1.34,2.3
