date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-07-01,002326,12.93,12.65,12.96,12.46,213571.0,269846373.11,3.89,-1.71,-0.22,2.66
2025-07-02,002326,12.56,12.4,12.63,12.34,155195.0,192426322.87,2.29,-1.98,-0.25,1.93
2025-07-03,002326,11.96,12.16,12.23,11.4,401371.0,478311381.1,6.69,-1.94,-0.24,4.99
2025-07-04,002326,12.18,12.3,12.4,11.99,373881.0,456604699.01,3.37,1.15,0.14,4.65
2025-07-07,002326,12.22,11.8,12.38,11.78,314656.0,378791998.8,4.88,-4.07,-0.5,3.91
2025-07-08,002326,11.81,12.6,12.66,11.8,400759.0,491780927.08,7.29,6.78,0.8,4.98
2025-07-09,002326,12.76,12.85,13.08,12.56,431257.0,552001312.49,4.13,1.98,0.25,5.36
2025-07-10,002326,12.9,13.52,13.8,12.87,783439.0,1051980725.97,7.24,5.21,0.67,9.74
2025-07-11,002326,13.39,13.32,13.58,13.0,520598.0,691541340.9,4.29,-1.48,-0.2,6.47
2025-07-14,002326,13.3,13.33,13.54,13.16,280513.0,374905744.78,2.85,0.08,0.01,3.49
2025-07-15,002326,13.39,13.37,13.58,13.15,313132.0,419340603.14,3.23,0.3,0.04,3.89
2025-07-16,002326,13.31,13.32,13.47,13.12,238738.0,316662985.08,2.62,-0.37,-0.05,2.97
2025-07-17,002326,13.36,13.47,13.56,13.23,219712.0,295661091.82,2.48,1.13,0.15,2.73
2025-07-18,002326,13.41,13.11,13.5,12.88,418305.0,547386341.49,4.6,-2.67,-0.36,5.2
2025-07-21,002326,13.01,13.35,13.35,13.0,289207.0,380206097.22,2.67,1.83,0.24,3.6
2025-07-22,002326,13.25,13.1,13.39,13.02,232041.0,304126072.66,2.77,-1.87,-0.25,2.89
2025-07-23,002326,13.1,12.99,13.27,12.95,206184.0,270022874.72,2.44,-0.84,-0.11,2.56
2025-07-24,002326,12.97,13.67,13.86,12.97,447285.0,603369253.26,6.85,5.23,0.68,5.56
2025-07-25,002326,13.82,13.54,13.88,13.5,249021.0,339211363.17,2.78,-0.95,-0.13,3.1
2025-07-28,002326,13.56,13.43,13.61,13.35,176861.0,238143893.92,1.92,-0.81,-0.11,2.2
2025-07-29,002326,13.38,13.26,13.42,13.15,177369.0,235251032.65,2.01,-1.27,-0.17,2.21
2025-07-30,002326,13.27,13.07,13.34,12.91,222491.0,292016374.45,3.24,-1.43,-0.19,2.77
2025-07-31,002326,13.07,12.97,13.26,12.9,191762.0,250406107.83,2.75,-0.77,-0.1,2.38
2025-08-01,002326,12.98,13.5,13.79,12.98,558249.0,753953126.4,6.25,4.09,0.53,6.94
2025-08-04,002326,13.47,13.25,13.68,13.06,420632.0,563579369.91,4.59,-1.85,-0.25,5.23
2025-08-05,002326,13.25,13.2,13.36,13.11,213686.0,281716609.31,1.89,-0.38,-0.05,2.66
2025-08-06,002326,13.16,13.15,13.32,13.02,255567.0,336434559.99,2.27,-0.38,-0.05,3.18
2025-08-07,002326,13.16,13.16,13.6,13.08,393491.0,524370427.4,3.95,0.08,0.01,4.89
2025-08-08,002326,13.17,13.68,14.03,13.17,736952.0,1015103452.92,6.53,3.95,0.52,9.17
2025-08-11,002326,13.7,14.0,14.09,13.59,484626.0,673957562.62,3.65,2.34,0.32,6.03
2025-08-12,002326,13.99,13.91,13.99,13.62,328941.0,453044316.46,2.64,-0.64,-0.09,4.07
2025-08-13,002326,13.85,14.2,14.48,13.71,469795.0,662810938.08,5.54,2.08,0.29,5.81
2025-08-14,002326,14.21,13.79,14.3,13.72,331507.0,464073826.44,4.08,-2.89,-0.41,4.1
2025-08-15,002326,13.75,14.0,14.13,13.73,239638.0,334668402.29,2.9,1.52,0.21,2.96
2025-08-18,002326,14.45,15.4,15.4,14.45,400563.0,610184388.58,6.79,10.0,1.4,4.95
2025-08-19,002326,16.47,15.78,16.48,15.42,1284570.0,2035247927.46,6.88,2.47,0.38,15.89
2025-08-20,002326,15.53,15.55,16.0,15.18,640424.0,995361221.56,5.2,-1.46,-0.23,7.92
2025-08-21,002326,15.88,15.39,16.06,15.35,548804.0,859330992.86,4.57,-1.03,-0.16,6.79
2025-08-22,002326,15.45,15.17,15.49,15.11,413850.0,630384566.29,2.47,-1.43,-0.22,5.12
2025-08-25,002326,15.34,15.47,15.69,15.16,492771.0,758362558.35,3.49,1.98,0.3,6.09
2025-08-26,002326,15.44,15.59,15.65,15.17,388150.0,600263828.77,3.1,0.78,0.12,4.8
2025-08-27,002326,15.68,14.79,15.69,14.79,514711.0,788882972.74,5.77,-5.13,-0.8,6.37
2025-08-28,002326,14.8,15.13,15.18,14.51,431068.0,642439769.84,4.53,2.3,0.34,5.33
2025-08-29,002326,15.13,15.11,15.29,14.91,325264.0,491358881.66,2.51,-0.13,-0.02,4.02
2025-09-01,002326,15.11,15.34,15.45,14.97,339173.0,514866266.4,3.18,1.52,0.23,4.2
2025-09-02,002326,15.5,15.72,16.05,15.36,597463.0,935553259.45,4.5,2.48,0.38,7.39
2025-09-03,002326,15.65,15.12,15.85,15.09,337897.0,522663350.75,4.83,-3.82,-0.6,4.18
2025-09-04,002326,15.18,14.92,15.8,14.67,498059.0,761040803.71,7.47,-1.32,-0.2,6.16
2025-09-05,002326,14.89,15.95,15.98,14.84,775754.0,1221858016.88,7.64,6.9,1.03,9.6
2025-09-08,002326,16.1,17.55,17.55,15.9,876773.0,1474652965.35,10.34,10.03,1.6,10.84
2025-09-09,002326,17.68,17.77,18.3,17.55,1049567.0,1872933731.48,4.27,1.25,0.22,12.98
2025-09-10,002326,17.65,17.37,17.9,17.1,728604.0,1274617844.98,4.5,-2.25,-0.4,9.01
2025-09-11,002326,17.28,17.59,17.69,16.75,529082.0,916491065.68,5.41,1.27,0.22,6.54
2025-09-12,002326,17.62,17.3,17.87,17.28,496157.0,871061883.65,3.35,-1.65,-0.29,6.14
2025-09-15,002326,17.31,17.14,17.63,17.11,371135.0,644831760.81,3.01,-0.92,-0.16,4.59
2025-09-16,002326,17.05,16.99,17.16,16.5,446069.0,751445626.93,3.85,-0.88,-0.15,5.52
2025-09-17,002326,16.95,16.99,17.2,16.77,320829.0,545236004.84,2.53,0.0,0.0,3.97
2025-09-18,002326,16.99,16.46,17.06,16.21,403506.0,673224285.61,5.0,-3.12,-0.53,4.99
2025-09-19,002326,16.51,17.36,17.69,16.51,725043.0,1247263848.69,7.17,5.47,0.9,8.97
2025-09-22,002326,17.57,17.28,17.74,17.17,423411.0,737046333.75,3.28,-0.46,-0.08,5.24
2025-09-23,002326,17.17,16.18,17.19,15.63,678916.0,1101432208.9,9.03,-6.37,-1.1,8.4
2025-09-24,002326,16.2,16.63,16.7,16.03,405734.0,666892923.26,4.14,2.78,0.45,5.02
2025-09-25,002326,16.8,17.06,17.58,16.8,457458.0,784391874.07,4.69,2.59,0.43,5.66
2025-09-26,002326,17.1,16.89,18.0,16.88,602614.0,1055110792.2,6.57,-1.0,-0.17,7.45
2025-09-29,002326,16.91,17.64,17.64,16.91,595310.0,1035929015.59,4.32,4.44,0.75,7.36
2025-09-30,002326,17.59,17.46,17.98,17.35,471612.0,830577041.68,3.57,-1.02,-0.18,5.83
2025-10-09,002326,17.58,17.23,17.65,17.0,419823.0,724047280.01,3.72,-1.32,-0.23,5.19
2025-10-10,002326,17.21,17.25,17.58,16.72,545993.0,933923799.37,4.99,0.12,0.02,6.75
2025-10-13,002326,16.5,17.85,17.95,16.08,691907.0,1188526050.24,10.84,3.48,0.6,8.56
2025-10-14,002326,18.01,16.66,18.15,16.6,655343.0,1127278737.12,8.68,-6.67,-1.19,8.11
2025-10-15,002326,16.61,17.09,17.18,16.26,350662.0,586806665.71,5.52,2.58,0.43,4.34
2025-10-16,002326,17.04,17.01,17.6,16.48,546885.0,928510720.65,6.55,-0.47,-0.08,6.76
2025-10-17,002326,16.95,16.01,17.2,16.01,424056.0,695675686.51,7.0,-5.88,-1.0,5.24
2025-10-20,002326,16.2,16.48,16.6,16.1,299254.0,489316610.27,3.12,2.94,0.47,3.7
2025-10-21,002326,16.45,16.94,17.38,16.21,473724.0,801732646.35,7.1,2.79,0.46,5.86
2025-10-22,002326,16.83,16.43,16.89,16.13,321320.0,529418945.02,4.49,-3.01,-0.51,3.97
2025-10-23,002326,16.43,16.25,16.55,16.0,286075.0,463336157.21,3.35,-1.1,-0.18,3.54
2025-10-24,002326,16.3,16.56,16.74,16.26,257073.0,425031563.87,2.95,1.91,0.31,3.18
2025-10-27,002326,16.63,17.67,18.18,16.63,816462.0,1426473630.1,9.36,6.7,1.11,10.1
2025-10-28,002326,17.53,18.18,18.65,17.53,693606.0,1256692989.11,6.34,2.89,0.51,8.58
2025-10-29,002326,17.8,17.88,18.06,17.43,550519.0,974921843.02,3.47,-1.65,-0.3,6.81
2025-10-30,002326,17.89,18.35,18.53,17.74,769369.0,1405005995.37,4.42,2.63,0.47,9.52
2025-10-31,002326,18.66,19.48,20.19,18.6,1284048.0,2545214403.66,8.66,6.16,1.13,15.89
2025-11-03,002326,19.42,18.67,19.61,18.44,885706.0,1662273964.41,6.01,-4.16,-0.81,10.96
2025-11-04,002326,18.66,18.37,19.19,18.2,533678.0,993269387.63,5.3,-1.61,-0.3,6.6
2025-11-05,002326,17.8,18.41,18.68,17.8,403396.0,738924416.66,4.79,0.22,0.04,4.99
2025-11-06,002326,18.5,19.15,19.64,18.5,660169.0,1259014053.79,6.19,4.02,0.74,8.17
2025-11-07,002326,19.42,21.07,21.07,19.11,1427826.0,2924060154.44,10.23,10.03,1.92,17.67
2025-11-10,002326,22.51,22.76,23.18,22.2,1911270.0,4340976129.35,4.65,8.02,1.69,23.65
2025-11-11,002326,22.95,25.04,25.04,22.95,1255382.0,2997645579.92,9.18,10.02,2.28,15.53
2025-11-12,002326,25.3,27.23,27.54,25.05,2306964.0,6074392521.2,9.94,8.75,2.19,28.55
2025-11-13,002326,28.22,29.95,29.95,28.1,2311562.0,6749906166.46,6.79,9.99,2.72,28.6
2025-11-14,002326,29.0,28.21,29.58,27.88,2027809.0,5814880916.61,5.68,-5.81,-1.74,25.09
2025-11-17,002326,28.8,31.03,31.03,28.25,1775598.0,5231703734.47,9.85,10.0,2.82,21.97
2025-11-18,002326,32.64,28.87,33.0,28.01,2173460.0,6562268258.21,16.08,-6.96,-2.16,26.89
2025-11-19,002326,29.59,30.0,30.83,29.4,1713716.0,5164247161.75,4.95,3.91,1.13,21.21
2025-11-20,002326,29.54,27.98,30.53,27.95,1342071.0,3876634329.16,8.6,-6.73,-2.02,16.61
2025-11-21,002326,26.53,25.18,27.28,25.18,1030941.0,2671356662.31,7.51,-10.01,-2.8,12.76
2025-11-24,002326,24.93,23.83,24.96,23.52,1041593.0,2503257093.92,5.72,-5.36,-1.35,12.89
2025-11-25,002326,24.18,24.32,24.82,23.39,1114236.0,2692027742.1,6.0,2.06,0.49,13.79
2025-11-26,002326,24.31,23.87,24.45,23.51,748341.0,1786654433.67,3.87,-1.85,-0.45,9.26
2025-11-27,002326,23.66,24.23,24.72,23.6,1038506.0,2525675226.62,4.69,1.51,0.36,12.85
2025-11-28,002326,24.0,25.69,26.2,23.91,1382090.0,3482278940.1,9.45,6.03,1.46,17.1
2025-12-01,002326,25.76,25.0,26.44,24.79,1251153.0,3199481179.31,6.42,-2.69,-0.69,15.48
2025-12-02,002326,24.79,24.66,25.2,24.16,626277.0,1544985170.58,4.16,-1.36,-0.34,7.75
2025-12-03,002326,24.85,23.64,25.0,23.42,602130.0,1438120369.85,6.41,-4.14,-1.02,7.45
2025-12-04,002326,23.65,22.9,23.9,22.87,504977.0,1166627876.98,4.36,-3.13,-0.74,6.25
2025-12-05,002326,22.9,22.98,23.28,22.43,429296.0,983080856.99,3.71,0.35,0.08,5.31
2025-12-08,002326,22.98,23.17,23.35,22.69,445576.0,1026195912.93,2.87,0.83,0.19,5.51
2025-12-09,002326,23.02,22.92,23.26,22.7,328564.0,754256903.21,2.42,-1.08,-0.25,4.07
2025-12-10,002326,22.99,23.36,23.75,22.62,656658.0,1526882468.1,4.93,1.92,0.44,8.13
