date,open,close,high,low,volume,extra_0,extra_1,extra_2,extra_3,extra_4
2025-07-02,60.4,60.15,60.45,59.6,140611857,8450225408.0,1.42,0.33,0.2,0.66
2025-07-03,59.75,58.1,60.05,57.05,234219003,13607754240.0,4.99,-3.41,-2.05,1.09
2025-07-04,57.5,57.5,58.2,56.6,132200659,7577808128.0,2.75,-1.03,-0.6,0.62
2025-07-07,56.9,57.3,57.4,56.4,81234333,4626867968.0,1.74,-0.35,-0.2,0.38
2025-07-08,57.4,58.65,58.95,57.25,101372801,5925120256.0,2.97,2.36,1.35,0.47
2025-07-09,58.2,57.4,58.8,57.1,100963784,5823256320.0,2.9,-2.13,-1.25,0.47
2025-07-10,57.5,56.9,57.75,56.7,96327664,5497778688.0,1.83,-0.87,-0.5,0.45
2025-07-11,57.5,57.35,58.2,57.25,88544316,5115116288.0,1.67,0.79,0.45,0.41
2025-07-14,57.5,57.3,57.8,56.8,73284998,4191439072.0,1.74,-0.09,-0.05,0.34
2025-07-15,57.3,57.65,58.3,56.55,125984834,7224596224.0,3.05,0.61,0.35,0.59
2025-07-16,58.2,57.3,58.4,57.0,103019857,5937939456.0,2.43,-0.61,-0.35,0.48
2025-07-17,57.1,56.15,57.25,55.8,165115655,9294255872.0,2.53,-2.01,-1.15,0.77
2025-07-18,56.5,57.0,57.0,55.85,96759733,5470341376.0,2.05,1.51,0.85,0.45
2025-07-21,56.4,57.75,58.4,56.4,124108750,7131901184.0,3.51,1.32,0.75,0.58
2025-07-22,57.9,57.95,58.15,57.5,69281026,4002335280.0,1.13,0.35,0.2,0.32
2025-07-23,58.35,58.4,58.45,57.65,109878070,6393519616.0,1.38,0.78,0.45,0.51
2025-07-24,58.25,58.45,58.75,58.0,83030716,4850556672.0,1.28,0.09,0.05,0.39
2025-07-25,58.4,57.4,58.4,57.05,115972199,6649214720.0,2.31,-1.8,-1.05,0.54
2025-07-28,57.3,56.8,57.4,56.55,111282561,6328291584.0,1.48,-1.05,-0.6,0.52
