date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate,换手率
2025-06-30,600879,9.88,10.47,10.58,9.83,1707256,1763643007.0,7.68,7.16,0.7,5.17
2025-07-01,600879,10.58,10.3,10.59,10.22,1029330,1062219993.0,3.53,-1.62,-0.17,3.12
2025-07-02,600879,10.27,10.13,10.27,10.06,599720,607148169.0,2.04,-1.65,-0.17,1.82
2025-07-03,600879,10.1,10.1,10.29,10.08,498196,505940610.0,2.07,-0.3,-0.03,1.51
2025-07-04,600879,10.1,10.03,10.18,9.95,503892,506020732.0,2.28,-0.69,-0.07,1.53
2025-07-07,600879,10.03,10.21,10.34,9.98,596608,609123752.0,3.59,1.79,0.18,1.81
2025-07-08,600879,10.18,10.18,10.22,10.1,363480,369280004.0,1.18,-0.29,-0.03,1.1
2025-07-09,600879,10.19,10.07,10.31,10.06,437861,445646328.0,2.46,-1.08,-0.11,1.33
2025-07-10,600879,10.01,10.05,10.1,9.91,442110,442035517.0,1.89,-0.2,-0.02,1.34
2025-07-11,600879,10.03,10.07,10.12,9.92,351313,353331836.0,1.99,0.2,0.02,1.06
2025-07-14,600879,10.07,10.02,10.15,10.0,348449,350503447.0,1.49,-0.5,-0.05,1.06
2025-07-15,600879,10.01,9.92,10.07,9.86,428656,425835610.0,2.1,-1.0,-0.1,1.3
2025-07-16,600879,9.96,9.89,9.98,9.85,341977,338647286.0,1.31,-0.3,-0.03,1.04
2025-07-17,600879,9.89,10.09,10.11,9.85,591882,592013004.0,2.63,2.02,0.2,1.79
2025-07-18,600879,10.08,10.17,10.2,9.98,555918,561820478.0,2.18,0.79,0.08,1.68
2025-07-21,600879,10.17,10.2,10.27,10.11,508837,517339961.0,1.57,0.29,0.03,1.54
2025-07-22,600879,10.18,10.12,10.24,10.03,490817,498260687.0,2.06,-0.78,-0.08,1.49
2025-07-23,600879,10.1,9.92,10.11,9.89,622353,620309763.0,2.17,-1.98,-0.2,1.89
2025-07-24,600879,9.91,10.04,10.06,9.9,505008,505058092.0,1.61,1.21,0.12,1.53
2025-07-25,600879,10.04,9.97,10.04,9.88,390169,388054838.0,1.59,-0.7,-0.07,1.18
2025-07-28,600879,9.98,10.32,10.36,9.98,1007167,1029751465.0,3.81,3.51,0.35,3.05
