date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-06-30,601600,6.87,6.78,6.88,6.75,1534323.0,1082054285.0,1.9,-1.17,-0.08,1.17
2025-07-01,601600,6.79,6.82,6.82,6.69,1328729.0,931329292.0,1.92,0.59,0.04,1.01
2025-07-02,601600,6.8,6.93,6.94,6.77,1791271.0,1279109725.0,2.49,1.61,0.11,1.36
2025-07-03,601600,6.95,6.92,6.97,6.89,1143117.0,820566866.0,1.15,-0.14,-0.01,0.87
2025-07-04,601600,6.9,6.9,6.97,6.83,1180885.0,845341343.0,2.02,-0.29,-0.02,0.9
2025-07-07,601600,6.86,6.78,6.87,6.77,1219824.0,862061867.0,1.45,-1.74,-0.12,0.93
2025-07-08,601600,6.75,6.8,6.81,6.75,1043951.0,735259310.0,0.88,0.29,0.02,0.79
2025-07-09,601600,6.83,6.72,6.85,6.71,1510471.0,1063950346.0,2.06,-1.18,-0.08,1.15
2025-07-10,601600,6.74,6.87,6.91,6.74,1923191.0,1368208528.0,2.53,2.23,0.15,1.46
2025-07-11,601600,6.88,7.01,7.13,6.86,2310977.0,1681463736.0,3.93,2.04,0.14,1.76
2025-07-14,601600,6.96,6.92,7.06,6.92,1497185.0,1083954247.0,2.0,-1.28,-0.09,1.14
2025-07-15,601600,6.92,6.89,6.99,6.8,1111823.0,794824322.0,2.75,-0.43,-0.03,0.84
2025-07-16,601600,6.85,6.85,6.91,6.83,829940.0,590369451.0,1.16,-0.58,-0.04,0.63
2025-07-17,601600,6.85,6.88,6.94,6.83,871134.0,622228920.0,1.61,0.44,0.03,0.66
2025-07-18,601600,6.91,6.98,7.02,6.89,1208380.0,874080816.0,1.89,1.45,0.1,0.92
2025-07-21,601600,7.16,7.37,7.44,7.1,2997765.0,2254418683.0,4.87,5.59,0.39,2.28
2025-07-22,601600,7.32,7.51,7.51,7.28,2341780.0,1794625548.0,3.12,1.9,0.14,1.78
2025-07-23,601600,7.52,7.38,7.55,7.37,1709402.0,1314189277.0,2.4,-1.73,-0.13,1.3
2025-07-24,601600,7.35,7.55,7.57,7.34,2019788.0,1562648492.0,3.12,2.3,0.17,1.53
2025-07-25,601600,7.54,7.46,7.67,7.44,1797362.0,1401615552.0,3.05,-1.19,-0.09,1.37
2025-07-28,601600,7.34,7.37,7.45,7.24,1399167.0,1064923590.0,2.82,-1.21,-0.09,1.06
2025-07-29,601600,7.37,7.45,7.47,7.36,1257306.0,964841502.0,1.49,1.09,0.08,0.95
2025-07-30,601600,7.46,7.47,7.58,7.44,1340912.0,1042821823.0,1.88,0.27,0.02,1.02
2025-07-31,601600,7.36,7.17,7.41,7.14,1765050.0,1326076109.0,3.61,-4.02,-0.3,1.34
2025-08-01,601600,7.15,7.13,7.26,7.1,959894.0,712707986.0,2.23,-0.56,-0.04,0.73
2025-08-04,601600,7.09,7.18,7.19,7.06,975882.0,720592226.0,1.82,0.7,0.05,0.74
2025-08-05,601600,7.18,7.22,7.22,7.14,1223276.0,910345898.0,1.11,0.56,0.04,0.93
2025-08-06,601600,7.21,7.27,7.32,7.19,1244632.0,937016823.0,1.8,0.69,0.05,0.95
2025-08-07,601600,7.33,7.28,7.38,7.17,1330166.0,999967010.0,2.89,0.14,0.01,1.01
2025-08-08,601600,7.27,7.42,7.49,7.24,1448641.0,1087272686.0,3.43,1.92,0.14,1.1
2025-08-11,601600,7.43,7.39,7.46,7.36,1277243.0,960708720.0,1.35,-0.4,-0.03,0.97
2025-08-12,601600,7.39,7.47,7.51,7.35,1341855.0,1015540028.0,2.17,1.08,0.08,1.02
