date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-07-01,603698,17.64,17.37,17.72,17.27,63151.0,110553213.0,2.56,-1.14,-0.2,1.18
2025-07-02,603698,17.44,17.27,17.45,17.13,34602.0,59850956.0,1.84,-0.58,-0.1,0.65
2025-07-03,603698,17.2,17.17,17.51,17.09,26898.0,46539276.0,2.43,-0.58,-0.1,0.5
2025-07-04,603698,17.16,16.93,17.2,16.85,42034.0,71678010.0,2.04,-1.4,-0.24,0.78
2025-07-07,603698,16.93,16.67,16.95,16.57,40954.0,68429299.0,2.24,-1.54,-0.26,0.76
2025-07-08,603698,16.93,16.83,16.93,16.66,52571.0,88531108.0,1.62,0.96,0.16,0.98
2025-07-09,603698,16.76,16.6,16.95,16.52,62284.0,104636809.0,2.55,-1.37,-0.23,1.16
2025-07-10,603698,16.65,16.57,16.65,16.41,44275.0,73331762.0,1.45,-0.18,-0.03,0.83
2025-07-11,603698,16.55,16.66,16.7,16.45,46212.0,76980648.0,1.51,0.54,0.09,0.86
2025-07-14,603698,16.66,16.72,16.77,16.63,41744.0,70004269.0,0.84,0.36,0.06,0.78
2025-07-15,603698,16.71,16.6,16.82,16.46,41528.0,69189287.0,2.15,-0.72,-0.12,0.77
2025-07-16,603698,16.61,16.43,16.61,16.35,51452.0,84989434.0,1.57,-1.02,-0.17,0.96
2025-07-17,603698,16.4,16.53,16.58,16.35,46573.0,76870551.0,1.4,0.61,0.1,0.87
2025-07-18,603698,16.56,16.91,17.08,16.53,80438.0,135274757.0,3.33,2.3,0.38,1.5
2025-07-21,603698,16.99,17.0,17.06,16.8,61545.0,104731209.0,1.54,0.53,0.09,1.15
2025-07-22,603698,17.03,17.2,17.24,16.96,63422.0,109034515.0,1.65,1.18,0.2,1.18
2025-07-23,603698,17.2,16.88,17.2,16.85,54042.0,92389686.0,2.03,-1.86,-0.32,1.01
2025-07-24,603698,16.9,17.16,17.3,16.83,54245.0,92715270.0,2.78,1.66,0.28,1.01
2025-07-25,603698,17.16,17.1,17.17,17.02,31432.0,53867647.0,0.87,-0.35,-0.06,0.59
2025-07-28,603698,17.16,17.16,17.32,17.07,37209.0,64109517.0,1.46,0.35,0.06,0.69
2025-07-29,603698,17.16,17.25,17.25,17.05,39820.0,68458741.0,1.17,0.52,0.09,0.74
2025-07-30,603698,17.25,17.26,17.48,17.09,52908.0,91786075.0,2.26,0.06,0.01,0.99
2025-07-31,603698,17.24,17.02,17.35,16.96,40730.0,70081687.0,2.26,-1.39,-0.24,0.76
2025-08-01,603698,17.01,17.14,17.26,16.86,50670.0,86719113.0,2.35,0.71,0.12,0.95
2025-08-04,603698,17.03,17.49,17.52,17.0,78094.0,136079957.0,3.03,2.04,0.35,1.46
2025-08-05,603698,17.55,17.82,17.88,17.43,85706.0,152089003.0,2.57,1.89,0.33,1.6
2025-08-06,603698,17.83,18.27,18.52,17.73,99998.0,183057035.0,4.43,2.53,0.45,1.87
2025-08-07,603698,18.24,18.26,18.39,18.07,91106.0,166737213.0,1.75,-0.05,-0.01,1.7
2025-08-08,603698,18.21,18.6,18.77,18.13,95417.0,176945431.0,3.5,1.86,0.34,1.78
2025-08-11,603698,18.72,18.84,19.0,18.63,87580.0,165363531.0,1.99,1.29,0.24,1.63
2025-08-12,603698,18.83,18.48,19.31,18.44,91838.0,172357732.0,4.62,-1.91,-0.36,1.71
2025-08-13,603698,18.55,18.72,19.05,18.47,83645.0,157487518.0,3.14,1.3,0.24,1.56
2025-08-14,603698,18.72,18.2,18.79,18.18,76256.0,140467813.0,3.26,-2.78,-0.52,1.42
2025-08-15,603698,18.16,18.22,18.39,18.11,53368.0,97737735.0,1.54,0.11,0.02,1.0
2025-08-18,603698,18.25,18.16,18.33,18.07,72320.0,131767481.0,1.43,-0.33,-0.06,1.35
2025-08-19,603698,18.25,18.06,18.4,17.97,55496.0,100788931.0,2.37,-0.55,-0.1,1.04
2025-08-20,603698,18.07,18.14,18.16,17.91,56831.0,102872845.0,1.38,0.44,0.08,1.06
2025-08-21,603698,18.23,18.01,18.23,17.92,52482.0,95064200.0,1.71,-0.72,-0.13,0.98
2025-08-22,603698,18.13,18.23,18.31,18.0,68226.0,124013724.0,1.72,1.22,0.22,1.27
2025-08-25,603698,18.23,18.91,18.95,18.15,141780.0,263215875.0,4.39,3.73,0.68,2.65
2025-08-26,603698,18.83,18.75,18.89,18.52,83640.0,156867465.0,1.96,-0.85,-0.16,1.56
2025-08-27,603698,18.75,17.95,18.77,17.92,101940.0,187576629.0,4.53,-4.27,-0.8,1.9
2025-08-28,603698,18.04,18.18,18.43,17.54,83781.0,151184473.0,4.96,1.28,0.23,1.56
2025-08-29,603698,18.03,18.29,18.4,18.03,74250.0,135954300.0,2.04,0.61,0.11,1.39
2025-09-01,603698,18.29,17.7,18.34,17.63,91284.0,163258045.0,3.88,-3.23,-0.59,1.7
2025-09-02,603698,17.7,17.53,17.82,17.12,75835.0,132132269.0,3.95,-0.96,-0.17,1.41
2025-09-03,603698,17.52,16.89,17.68,16.86,60751.0,104462376.0,4.68,-3.65,-0.64,1.13
2025-09-04,603698,16.97,16.77,17.11,16.58,56170.0,95127066.0,3.14,-0.71,-0.12,1.05
2025-09-05,603698,16.79,16.9,16.93,16.74,41229.0,69662518.0,1.13,0.78,0.13,0.77
2025-09-08,603698,16.91,17.08,17.14,16.85,45348.0,77308401.0,1.72,1.07,0.18,0.85
2025-09-09,603698,17.09,16.92,17.1,16.79,36307.0,61603104.0,1.81,-0.94,-0.16,0.68
2025-09-10,603698,16.9,16.93,17.01,16.77,29365.0,49770961.0,1.42,0.06,0.01,0.55
2025-09-11,603698,17.39,18.63,18.63,17.39,159703.0,294851544.0,7.32,10.04,1.7,2.98
2025-09-12,603698,18.97,19.64,20.13,18.87,333374.0,655392192.0,6.76,5.42,1.01,6.22
2025-09-15,603698,19.44,20.52,20.75,19.2,275174.0,550209609.0,7.89,4.48,0.88,5.13
2025-09-16,603698,20.48,20.18,20.6,19.89,150509.0,305043622.0,3.46,-1.66,-0.34,2.81
2025-09-17,603698,20.05,19.98,20.33,19.84,89378.0,179119326.0,2.43,-0.99,-0.2,1.67
2025-09-18,603698,19.95,19.4,20.03,19.08,118395.0,231838690.0,4.75,-2.9,-0.58,2.21
2025-09-19,603698,19.38,19.33,19.65,19.14,91262.0,177241358.0,2.63,-0.36,-0.07,1.7
2025-09-22,603698,19.33,19.3,19.39,19.0,70018.0,134480852.0,2.02,-0.16,-0.03,1.31
2025-09-23,603698,19.15,18.94,19.32,18.63,65342.0,123157656.0,3.58,-1.87,-0.36,1.22
2025-09-24,603698,18.8,19.83,19.87,18.8,107319.0,208813662.0,5.65,4.7,0.89,2.0
2025-09-25,603698,19.8,20.94,21.28,19.73,183680.0,384753375.0,7.82,5.6,1.11,3.43
2025-09-26,603698,20.91,21.45,22.07,20.57,183607.0,392845522.0,7.16,2.44,0.51,3.43
2025-09-29,603698,21.44,21.39,22.31,20.8,188522.0,406961539.0,7.04,-0.28,-0.06,3.52
2025-09-30,603698,20.93,20.85,21.26,20.4,133105.0,276430929.0,4.02,-2.52,-0.54,2.48
2025-10-09,603698,20.85,20.76,20.97,20.5,93760.0,194105692.0,2.25,-0.43,-0.09,1.75
2025-10-10,603698,20.82,21.45,22.56,20.78,160096.0,347867669.0,8.57,3.32,0.69,2.99
2025-10-13,603698,20.71,21.21,21.98,20.71,111644.0,238896715.0,5.92,-1.12,-0.24,2.08
2025-10-14,603698,21.85,21.48,22.13,21.21,104620.0,226489100.0,4.34,1.27,0.27,1.95
2025-10-15,603698,21.48,21.51,21.57,20.71,88197.0,186642994.0,4.0,0.14,0.03,1.65
2025-10-16,603698,21.4,21.31,21.8,21.1,78900.0,168992696.0,3.25,-0.93,-0.2,1.47
2025-10-17,603698,21.32,20.91,21.52,20.91,89291.0,189441619.0,2.86,-1.88,-0.4,1.67
2025-10-20,603698,20.06,20.2,20.83,19.83,108707.0,220458339.0,4.78,-3.4,-0.71,2.03
2025-10-21,603698,20.16,20.1,20.53,20.06,72305.0,146634219.0,2.33,-0.5,-0.1,1.35
2025-10-22,603698,20.01,19.91,20.19,19.72,43721.0,86870204.0,2.34,-0.95,-0.19,0.82
2025-10-23,603698,19.81,19.6,19.9,19.35,45956.0,89845160.0,2.76,-1.56,-0.31,0.86
2025-10-24,603698,20.1,19.26,20.48,18.99,150853.0,292434631.0,7.6,-1.73,-0.34,2.81
2025-10-27,603698,19.1,19.2,19.69,18.99,95029.0,182697312.0,3.63,-0.31,-0.06,1.77
2025-10-28,603698,19.21,19.28,19.64,18.96,88311.0,171072188.0,3.54,0.42,0.08,1.65
2025-10-29,603698,19.36,19.13,19.56,19.02,94578.0,181969517.0,2.8,-0.78,-0.15,1.76
2025-10-30,603698,19.23,19.66,20.02,19.17,142575.0,279545699.0,4.44,2.77,0.53,2.66
2025-10-31,603698,19.6,18.97,19.76,18.92,122285.0,234408631.0,4.27,-3.51,-0.69,2.28
2025-11-03,603698,18.95,19.59,19.98,18.7,133345.0,257852400.0,6.75,3.27,0.62,2.49
2025-11-04,603698,19.6,19.52,19.91,19.35,103428.0,202825052.0,2.86,-0.36,-0.07,1.93
2025-11-05,603698,19.35,19.6,19.78,19.31,65019.0,127656446.0,2.41,0.41,0.08,1.21
2025-11-06,603698,19.59,19.59,19.7,19.18,64870.0,126507305.0,2.65,-0.05,-0.01,1.21
2025-11-07,603698,19.44,19.72,19.84,19.31,60581.0,118930311.0,2.71,0.66,0.13,1.13
2025-11-10,603698,19.74,20.0,20.8,19.74,131582.0,266397924.0,5.38,1.42,0.28,2.45
2025-11-11,603698,20.01,19.44,20.04,19.34,81831.0,159992406.0,3.5,-2.8,-0.56,1.53
2025-11-12,603698,19.42,19.08,19.44,18.7,73152.0,138920515.0,3.81,-1.85,-0.36,1.36
2025-11-13,603698,18.99,19.11,19.26,18.95,59684.0,114272732.0,1.62,0.16,0.03,1.11
2025-11-14,603698,19.07,19.04,19.28,18.78,54901.0,104932519.0,2.62,-0.37,-0.07,1.02
2025-11-17,603698,19.05,18.97,19.15,18.81,40948.0,77629726.0,1.79,-0.37,-0.07,0.76
2025-11-18,603698,18.93,18.69,18.96,18.65,40883.0,76634331.0,1.63,-1.48,-0.28,0.76
2025-11-19,603698,18.68,18.55,18.8,18.37,36838.0,68242711.0,2.3,-0.75,-0.14,0.69
2025-11-20,603698,18.57,18.62,18.78,18.5,41326.0,77030948.0,1.51,0.38,0.07,0.77
2025-11-21,603698,18.6,17.87,18.62,17.84,54071.0,98073872.0,4.19,-4.03,-0.75,1.01
2025-11-24,603698,18.01,18.37,18.48,17.88,59825.0,109227600.0,3.36,2.8,0.5,1.12
2025-11-25,603698,18.3,18.77,19.42,18.25,116762.0,220803280.0,6.37,2.18,0.4,2.18
2025-11-26,603698,18.7,18.1,19.0,18.09,78315.0,143788965.0,4.85,-3.57,-0.67,1.46
2025-11-27,603698,18.02,17.96,18.19,17.88,44402.0,80030536.0,1.71,-0.77,-0.14,0.83
2025-11-28,603698,17.96,18.86,19.39,17.92,125855.0,235545326.0,8.18,5.01,0.9,2.35
2025-12-01,603698,18.87,18.9,19.32,18.86,95222.0,181077395.0,2.44,0.21,0.04,1.78
2025-12-02,603698,18.98,19.83,20.66,18.56,229118.0,453302438.0,11.11,4.92,0.93,4.27
2025-12-03,603698,19.64,19.31,19.8,18.79,171658.0,330114274.0,5.09,-2.62,-0.52,3.2
2025-12-04,603698,19.15,20.31,21.24,19.05,381181.0,784440941.0,11.34,5.18,1.0,7.11
2025-12-05,603698,20.17,21.52,21.8,19.79,426956.0,886474513.0,9.9,5.96,1.21,7.97
2025-12-08,603698,21.53,23.67,23.67,21.49,242018.0,565582117.0,10.13,9.99,2.15,4.52
2025-12-09,603698,23.7,22.86,24.5,22.52,571903.0,1343394175.0,8.37,-3.42,-0.81,10.67
2025-12-10,603698,22.63,24.25,25.15,22.3,570540.0,1375144187.0,12.47,6.08,1.39,10.64
2025-12-11,603698,24.0,23.23,24.11,23.0,408344.0,953249686.0,4.58,-4.21,-1.02,7.62
2025-12-12,603698,22.98,25.55,25.55,22.81,493400.0,1208435931.0,11.8,9.99,2.32,9.21
2025-12-15,603698,26.25,27.51,28.11,25.11,648356.0,1747042300.0,11.74,7.67,1.96,12.1
2025-12-16,603698,26.12,27.7,29.3,24.87,585440.0,1540840902.0,16.1,0.69,0.19,10.92
2025-12-17,603698,25.9,24.99,26.6,24.96,400116.0,1023731732.0,5.92,-9.78,-2.71,7.46
2025-12-18,603698,24.5,24.97,25.99,24.35,354701.0,896062677.0,6.56,-0.08,-0.02,6.62
2025-12-19,603698,25.52,27.47,27.47,25.52,431325.0,1173159506.0,7.81,10.01,2.5,8.05
2025-12-22,603698,27.57,28.12,29.28,27.02,653378.0,1845565527.0,8.23,2.37,0.65,12.19
2025-12-23,603698,27.89,30.93,30.93,27.02,760349.0,2278360659.0,13.9,9.99,2.81,14.19
2025-12-24,603698,29.61,34.02,34.02,29.61,570622.0,1860778561.0,14.26,9.99,3.09,10.65
2025-12-25,603698,35.72,37.42,37.42,35.0,388726.0,1420323928.0,7.11,9.99,3.4,7.25
2025-12-26,603698,39.8,39.39,40.52,37.0,803552.0,3135203110.0,9.41,5.26,1.97,14.99
2025-12-28,,39.8,39.39,40.52,37.0,803552.0,3135203110.0,,,,
