date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-20,31.342,31.462,32.022,30.882,18687895,595058336.0,3.69,1.88,0.58,1.35
2025-10-21,32.162,31.802,33.122,31.562,21778226,714063888.0,4.96,1.08,0.34,1.57
2025-10-22,31.162,31.222,31.262,30.162,18653115,583808064.0,3.46,-1.82,-0.58,1.34
2025-10-23,31.042,31.202,31.302,29.742,19064640,590493184.0,5.0,-0.06,-0.02,1.37
2025-10-24,32.142,33.162,33.462,31.362,37017098,1227450128.0,6.73,6.28,1.96,2.67
2025-10-27,34.462,34.622,35.142,33.562,36732477,1284250480.0,4.76,4.4,1.46,2.65
2025-10-28,34.562,32.382,34.562,32.142,31679209,1056777056.0,6.99,-6.47,-2.24,2.28
2025-10-30,34.402,34.062,35.242,33.322,45848003,1593056720.0,5.93,5.19,1.68,3.3
2025-10-31,33.262,32.022,33.642,32.022,32410440,1070511168.0,4.76,-5.99,-2.04,2.34
2025-11-03,31.642,31.222,32.362,30.282,27080225,849302848.0,6.5,-2.5,-0.8,1.95
2025-11-04,31.02,29.86,31.34,29.44,26173864,784180736.0,6.09,-4.36,-1.362,1.89
2025-11-05,29.16,30.8,31.2,28.78,24709208,750713488.0,8.1,3.15,0.94,1.78
2025-11-06,31.2,31.74,31.88,31.0,20530562,647670864.0,2.86,3.05,0.94,1.48
2025-11-07,31.2,31.66,31.84,30.72,14583536,458388256.0,3.53,-0.25,-0.08,1.05
2025-11-10,31.88,32.02,32.5,31.3,13859793,441956480.0,3.79,1.14,0.36,1.0
2025-11-11,32.4,31.94,32.8,31.54,11106111,354752864.0,3.94,-0.25,-0.08,0.8
2025-11-12,31.8,31.88,32.28,31.1,13714044,433880016.0,3.69,-0.19,-0.06,0.99
2025-11-13,32.08,32.86,33.34,31.9,17767409,583263296.0,4.52,3.07,0.98,1.28
2025-11-14,32.0,31.76,32.34,31.42,11279375,359440688.0,2.8,-3.35,-1.1,0.81
2025-11-17,31.66,30.94,31.66,30.4,13351040,412329440.0,3.97,-2.58,-0.82,0.96
2025-11-18,30.6,29.88,30.66,29.5,15706574,469596176.0,3.75,-3.43,-1.06,1.13
2025-11-19,30.02,30.3,30.44,29.8,7099282,214468984.0,2.14,1.41,0.42,0.51
2025-11-20,30.8,30.4,31.28,30.22,9633804,295783760.0,3.5,0.33,0.1,0.69
2025-11-21,29.72,29.24,29.72,28.7,16701787,487359344.0,3.36,-3.82,-1.16,1.2
2025-11-24,29.68,29.72,29.82,29.0,12371932,365371008.0,2.8,1.64,0.48,0.89
2025-11-25,30.2,30.08,30.86,29.74,12585914,380379472.0,3.77,1.21,0.36,0.91
2025-11-26,30.14,30.26,30.94,29.8,9591842,291529040.0,3.79,0.6,0.18,0.69
2025-11-27,31.1,30.54,31.56,30.44,11999060,372261808.0,3.7,0.93,0.28,0.86
2025-11-28,30.5,30.68,31.04,30.22,10653252,327153664.0,2.69,0.46,0.14,0.77
2025-12-01,32.16,33.8,34.44,32.16,41633800,1388745328.0,7.43,10.17,3.12,3.0
2025-12-02,33.16,33.3,33.56,32.62,13959321,462797488.0,2.78,-1.48,-0.5,1.01
2025-12-03,33.3,33.66,34.12,32.84,16054655,538843344.0,3.84,1.08,0.36,1.16
2025-12-04,35.12,34.02,35.34,33.9,27183386,938013632.0,4.28,1.07,0.36,1.96
2025-12-05,34.02,36.1,36.2,33.9,35351653,1255309072.0,6.76,6.11,2.08,2.55
2025-12-08,36.2,35.92,36.5,34.78,22653229,805388480.0,4.76,-0.5,-0.18,1.63
2025-12-09,35.44,33.58,35.44,33.06,30760587,1038071792.0,6.63,-6.51,-2.34,2.22
2025-12-10,33.96,33.98,34.2,33.24,15686525,530651984.0,2.86,1.19,0.4,1.13
2025-12-11,35.12,33.42,35.12,33.18,16262989,549760144.0,5.71,-1.65,-0.56,1.17
2025-12-12,34.28,34.7,35.18,34.08,21762629,752730512.0,3.29,3.83,1.28,1.57
2025-12-15,33.7,34.66,35.34,33.42,15403301,533854368.0,5.53,-0.12,-0.04,1.11
2025-12-16,34.78,33.88,35.8,33.54,21635000,741446912.0,6.52,-2.25,-0.78,1.56
2025-12-17,34.0,35.18,35.8,33.8,20549568,719703040.0,5.9,3.84,1.3,1.48
2025-12-18,34.9,35.2,36.34,34.76,13352853,473643952.0,4.49,0.06,0.02,0.96
2025-12-19,35.66,36.22,36.86,34.68,30579945,1109879696.0,6.19,2.9,1.02,2.2
2025-12-22,37.0,37.98,38.3,36.8,20730373,782465216.0,4.14,4.86,1.76,1.49
2025-12-23,38.48,37.0,38.48,36.56,18233461,678283808.0,5.06,-2.58,-0.98,1.31
2025-12-24,37.62,37.24,38.4,36.82,9580220,358494608.0,4.27,0.65,0.24,0.69
2025-12-29,40.96,39.66,41.98,39.34,50918848,2071710240.0,7.09,6.5,2.42,3.67
2025-12-30,38.02,40.7,41.0,37.56,29631620,1185330144.0,8.67,2.62,1.04,2.14
2025-12-31,40.98,42.88,44.62,40.88,29714087,1286698832.0,9.19,5.36,2.18,2.14
2026-01-02,43.0,43.68,43.8,42.44,9411308,406982768.0,3.17,1.87,0.8,0.68
2026-01-05,44.36,42.46,44.5,41.5,31938730,1353173376.0,6.87,-2.79,-1.22,2.3
2026-01-06,44.0,44.8,45.96,43.24,36775401,1646747696.0,6.41,5.51,2.34,2.65
2026-01-07,45.3,44.4,45.3,43.88,17414169,774206752.0,3.17,-0.89,-0.4,1.26
2026-01-08,43.6,43.6,44.56,42.84,16187024,704229712.0,3.87,-1.8,-0.8,1.17
2026-01-09,43.3,44.48,45.54,42.7,21129558,942866080.0,6.51,2.02,0.88,1.52
2026-01-12,45.6,44.4,45.9,43.18,27678649,1215634064.0,6.12,-0.18,-0.08,1.99
2026-01-13,44.62,45.56,46.3,43.36,25917069,1169716224.0,6.62,2.61,1.16,1.87
2026-01-14,46.2,46.3,47.8,45.64,24823238,1156973984.0,4.74,1.62,0.74,1.79
2026-01-15,46.98,46.98,48.88,45.18,31023432,1460088704.0,7.99,1.47,0.68,2.24
2026-01-16,47.58,48.34,49.78,46.6,20672191,1005429424.0,6.77,2.89,1.36,1.49
