date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-15,83.8,85.8,86.5,83.15,14631444,1244593264.0,4.06,4.0,3.3,0.94
2025-10-16,84.6,82.8,85.6,81.55,17412271,1443829888.0,4.72,-3.5,-3.0,1.12
2025-10-17,83.25,79.2,83.65,78.6,18811572,1504691296.0,6.1,-4.35,-3.6,1.21
2025-10-20,81.8,81.35,82.45,80.85,10241554,836465808.0,2.02,2.71,2.15,0.66
2025-10-21,83.3,84.4,85.65,83.05,16773961,1421941632.0,3.2,3.75,3.05,1.07
2025-10-22,83.6,82.85,84.25,82.25,7733948,643124768.0,2.37,-1.84,-1.55,0.5
2025-10-23,82.25,82.15,83.55,80.9,8329832,680794704.0,3.2,-0.84,-0.7,0.53
2025-10-24,83.0,83.15,84.3,81.7,12044781,998617840.0,3.16,1.22,1.0,0.77
2025-10-27,85.3,84.7,86.8,82.8,14931251,1267419536.0,4.81,1.86,1.55,0.96
2025-10-28,88.6,86.95,89.2,86.25,16993093,1490548800.0,3.48,2.66,2.25,1.09
2025-10-30,89.8,88.4,90.85,87.2,22463636,1999596480.0,4.2,1.67,1.45,1.44
2025-10-31,88.4,87.2,88.5,86.65,8934060,780450160.0,2.09,-1.36,-1.2,0.57
2025-11-03,90.05,91.2,91.75,89.05,17887371,1622476128.0,3.1,4.59,4.0,1.15
2025-11-04,90.45,88.9,92.0,87.7,16102213,1444783440.0,4.71,-2.52,-2.3,1.03
2025-11-05,86.8,87.7,88.0,83.7,18462370,1590872320.0,4.84,-1.35,-1.2,1.18
2025-11-06,86.0,89.4,92.8,83.05,47206608,4173098192.0,11.12,1.94,1.7,3.02
2025-11-07,93.7,90.9,94.45,90.3,39113059,3618792400.0,4.64,1.68,1.5,2.51
2025-11-10,89.15,92.0,92.4,87.1,25270490,2269384576.0,5.83,1.21,1.1,1.62
2025-11-11,100.8,108.5,109.0,99.7,85840900,9020588800.0,10.11,17.93,16.5,5.5
2025-11-12,110.8,105.2,110.8,102.1,43924623,4637974784.0,8.02,-3.04,-3.3,2.81
2025-11-13,105.7,105.9,106.5,103.0,20388568,2140792432.0,3.33,0.67,0.7,1.31
2025-11-14,102.9,98.7,103.5,97.8,32066987,3215086960.0,5.38,-6.8,-7.2,2.05
2025-11-17,97.9,96.0,99.15,95.35,22019889,2127676288.0,3.85,-2.74,-2.7,1.41
2025-11-18,89.0,85.95,89.5,85.35,51362729,4482356992.0,4.32,-10.47,-10.05,3.29
2025-11-19,87.5,85.7,88.0,85.3,26145114,2255180512.0,3.14,-0.29,-0.25,1.67
2025-11-20,84.1,81.85,84.45,80.4,35830837,2932843328.0,4.73,-4.49,-3.85,2.3
2025-11-21,78.85,78.5,80.0,78.05,29458265,2323996848.0,2.38,-4.09,-3.35,1.89
2025-11-24,79.85,81.35,81.7,79.45,26445761,2136626176.0,2.87,3.63,2.85,1.69
2025-11-25,82.2,81.6,82.65,80.9,19713854,1609120032.0,2.15,0.31,0.25,1.26
2025-11-26,83.45,82.1,83.5,82.0,13236671,1095051504.0,1.84,0.61,0.5,0.85
2025-11-27,82.5,82.85,84.35,82.0,18374958,1534356656.0,2.86,0.91,0.75,1.18
2025-11-28,82.85,83.9,84.35,81.85,8999914,749287536.0,3.02,1.27,1.05,0.58
2025-12-01,84.5,83.35,84.5,82.65,12388739,1031809584.0,2.21,-0.66,-0.55,0.79
2025-12-02,82.0,78.75,82.2,78.2,29777894,2365986352.0,4.8,-5.52,-4.6,1.91
2025-12-03,76.7,75.4,76.95,75.15,20233612,1530336880.0,2.29,-4.25,-3.35,1.3
2025-12-04,74.1,76.2,76.65,73.0,23315066,1741545504.0,4.84,1.06,0.8,1.49
2025-12-05,76.55,77.95,78.3,75.7,17165632,1329489344.0,3.41,2.3,1.75,1.1
2025-12-08,78.65,78.0,78.95,77.7,10282095,804642352.0,1.6,0.06,0.05,0.66
2025-12-09,79.05,77.4,79.65,76.95,9489567,738704224.0,3.46,-0.77,-0.6,0.61
2025-12-10,77.4,76.2,77.4,74.85,12402157,939540672.0,3.29,-1.55,-1.2,0.79
2025-12-11,76.35,74.65,76.7,74.5,8971708,673272192.0,2.89,-2.03,-1.55,0.57
2025-12-12,75.0,75.45,75.95,74.1,10246210,770016992.0,2.48,1.07,0.8,0.66
2025-12-15,74.05,73.75,75.3,73.65,10240571,762166032.0,2.19,-2.25,-1.7,0.66
2025-12-16,72.5,72.4,73.3,70.05,31697148,2269792896.0,4.41,-1.83,-1.35,2.03
2025-12-17,71.8,72.3,72.7,70.5,15176953,1087254224.0,3.04,-0.14,-0.1,0.97
2025-12-18,70.6,71.2,71.35,70.1,9944374,703852000.0,1.73,-1.52,-1.1,0.64
2025-12-19,73.0,76.65,77.25,72.35,32730378,2472654480.0,6.88,7.65,5.45,2.09
2025-12-22,77.7,77.15,78.5,76.3,11406726,883884656.0,2.87,0.65,0.5,0.73
2025-12-23,77.5,76.45,77.55,75.9,6425692,492291296.0,2.14,-0.91,-0.7,0.41
2025-12-24,76.45,76.1,76.5,75.5,4417193,336067504.0,1.31,-0.46,-0.35,0.28
2025-12-29,80.0,79.05,81.6,78.9,22897657,1837691488.0,3.55,3.88,2.95,1.47
2025-12-30,79.0,80.1,80.85,78.1,10683318,851266960.0,3.48,1.33,1.05,0.68
2025-12-31,81.85,79.35,82.65,78.5,13912585,1117265392.0,5.18,-0.94,-0.75,0.89
2026-01-02,78.8,80.35,81.1,77.2,6474438,517671104.0,4.91,1.26,1.0,0.41
2026-01-05,79.3,76.65,79.3,75.8,24461186,1879088128.0,4.36,-4.6,-3.7,1.57
2026-01-06,77.6,79.8,80.2,77.6,16896838,1341336096.0,3.39,4.11,3.15,1.08
2026-01-07,78.7,78.05,79.0,76.65,17090091,1326448640.0,2.94,-2.19,-1.75,1.09
2026-01-08,77.7,79.0,79.55,76.5,10492011,817881424.0,3.91,1.22,0.95,0.67
2026-01-09,79.8,78.55,80.4,77.95,12422950,979016528.0,3.1,-0.57,-0.45,0.79
2026-01-12,78.05,80.35,80.35,76.6,19842203,1559284384.0,4.77,2.29,1.8,1.27
2026-01-13,83.95,82.35,84.6,82.25,17565670,1464465696.0,2.92,2.49,2.0,1.12
