date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-14,16.5,16.15,17.04,15.94,23769642,391160928.0,6.83,0.31,0.05,1.51
2025-10-15,16.4,17.28,17.5,16.25,22794000,391012896.0,7.74,7.0,1.13,1.45
2025-10-16,17.57,17.01,17.85,16.73,13245000,227287253.0,6.48,-1.56,-0.27,0.84
2025-10-17,17.01,15.8,17.06,15.68,17208400,277485968.0,8.11,-7.11,-1.21,1.09
2025-10-20,16.27,16.63,16.8,16.24,11815000,195503477.0,3.54,5.25,0.83,0.75
2025-10-21,16.2,16.53,17.1,16.2,15127185,253463086.0,5.41,-0.6,-0.1,0.96
2025-10-22,16.7,16.16,16.7,15.98,6789965,110448014.0,4.36,-2.24,-0.37,0.43
2025-10-23,16.3,16.3,16.35,15.6,8391050,134059667.0,4.64,0.87,0.14,0.53
2025-10-24,16.65,17.21,17.5,16.53,16010000,273778640.0,5.95,5.58,0.91,1.02
2025-10-27,17.65,18.07,18.23,17.02,18992090,336582272.0,7.03,5.0,0.86,1.21
2025-10-28,18.31,17.25,18.34,17.2,14002050,247972242.0,6.31,-4.54,-0.82,0.89
2025-10-30,17.6,16.54,17.61,16.13,18278593,302888528.0,8.58,-4.12,-0.71,1.16
2025-10-31,16.53,17.84,18.0,16.36,20720120,359041952.0,9.92,7.86,1.3,1.32
2025-11-03,18.0,18.92,19.28,18.0,25886275,488177376.0,7.17,6.05,1.08,1.64
2025-11-04,18.82,18.42,18.93,18.07,15240200,281945168.0,4.55,-2.64,-0.5,0.97
2025-11-05,17.82,17.6,17.82,16.71,24277932,417622704.0,6.03,-4.45,-0.82,1.54
2025-11-06,18.47,18.17,18.8,17.99,18163954,334684800.0,4.6,3.24,0.57,1.15
2025-11-07,17.74,17.31,17.74,16.95,14168250,245701499.0,4.35,-4.73,-0.86,0.9
2025-11-10,17.3,18.31,18.4,17.11,14264000,255315281.0,7.45,5.78,1.0,0.91
2025-11-11,18.51,19.23,19.58,18.51,31489266,605966224.0,5.84,5.02,0.92,2.0
2025-11-12,18.45,19.19,19.3,18.06,18506497,344951376.0,6.45,-0.21,-0.04,1.18
2025-11-13,19.1,18.86,19.46,18.52,14766600,279088752.0,4.9,-1.72,-0.33,0.94
2025-11-14,18.4,18.7,19.2,18.05,10270064,191667020.0,6.1,-0.85,-0.16,0.65
2025-11-17,18.73,18.95,20.14,18.68,27535720,537845232.0,7.81,1.34,0.25,1.75
2025-11-18,18.7,18.48,19.35,18.24,14325484,267905119.0,5.86,-2.48,-0.47,0.91
2025-11-19,18.55,18.28,18.75,17.78,9880491,179178123.0,5.25,-1.08,-0.2,0.63
2025-11-20,18.61,18.05,18.88,17.77,10824000,195958188.0,6.07,-1.26,-0.23,0.69
2025-11-21,17.3,18.0,18.05,16.55,24814860,432951552.0,8.31,-0.28,-0.05,1.58
2025-11-24,16.63,16.16,17.2,15.77,46184850,762155104.0,7.94,-10.22,-1.84,2.93
2025-11-25,16.46,14.53,16.72,13.6,72359614,1068015552.0,19.31,-10.09,-1.63,4.6
2025-11-26,14.47,14.45,14.99,14.1,18783095,271888464.0,6.13,-0.55,-0.08,1.19
2025-11-27,14.7,13.96,14.81,13.66,39704000,555423408.0,7.96,-3.39,-0.49,2.52
2025-11-28,14.08,14.67,14.98,14.08,20555235,300241312.0,6.45,5.09,0.71,1.31
2025-12-01,14.61,14.67,15.2,14.53,12044130,178594375.0,4.57,0.0,0.0,0.77
2025-12-02,14.87,14.02,14.87,13.93,12129050,172902218.0,6.41,-4.43,-0.65,0.77
2025-12-03,14.16,14.11,14.3,13.77,11741564,164134116.0,3.78,0.64,0.09,0.75
2025-12-04,14.2,14.15,14.4,13.91,7786692,110314656.0,3.47,0.28,0.04,0.49
2025-12-05,14.26,14.61,14.9,14.08,11112161,162360881.0,5.8,3.25,0.46,0.71
2025-12-08,14.78,14.22,14.78,13.93,11227070,158758399.0,5.82,-2.67,-0.39,0.71
2025-12-09,14.36,14.12,14.56,13.92,14783000,209068368.0,4.5,-0.7,-0.1,0.94
2025-12-10,14.09,14.3,14.3,13.46,15832287,218111380.0,5.95,1.27,0.18,1.01
2025-12-11,14.44,16.41,16.51,14.3,41774838,647932544.0,15.45,14.76,2.11,2.65
2025-12-12,16.53,15.7,17.15,15.48,42867324,698289664.0,10.18,-4.33,-0.71,2.72
2025-12-15,15.48,15.65,15.8,15.2,9073004,140800737.0,3.82,-0.32,-0.05,0.58
2025-12-16,15.65,15.02,15.76,14.76,8291702,125158378.0,6.39,-4.03,-0.63,0.53
2025-12-17,15.12,15.47,15.5,14.77,10868500,165338610.0,4.86,3.0,0.45,0.69
2025-12-18,15.25,14.82,15.55,14.8,7210000,108627664.0,4.85,-4.2,-0.65,0.46
2025-12-19,15.11,15.56,15.66,14.92,9602754,147682962.0,4.99,4.99,0.74,0.61
2025-12-22,15.79,15.3,15.89,15.2,9441561,145675567.0,4.43,-1.67,-0.26,0.6
2025-12-23,15.33,15.4,15.6,14.9,7647000,117287976.0,4.58,0.65,0.1,0.49
2025-12-24,15.4,15.1,15.87,15.05,11002529,169862420.0,5.32,-1.95,-0.3,0.7
2025-12-29,15.1,15.18,15.89,14.72,16805850,258833771.0,7.75,0.53,0.08,1.07
2025-12-30,15.53,15.3,15.65,15.15,8625000,132380620.0,3.29,0.79,0.12,0.55
2025-12-31,15.44,15.28,15.74,15.03,9075010,138956631.0,4.64,-0.13,-0.02,0.58
2026-01-02,15.28,15.7,16.18,14.99,2620078,41376943.0,7.79,2.75,0.42,0.17
